id,district_id,eligible_voters,voters,invalid_votes,valid_votes,vote_yes,vote_no,voter_turnout,invalid_votes_percentage,valid_votes_percentage,vote_yes_percentage,vote_no_percentage
01,01,196830,44193,58,44135,43214,921,0.2245237006553879,0.0013124250446903355,0.9986875749553097,0.9778471703663476,0.020840404588962053
02,02,170710,46346,49,46304,45530,774,0.27148966082830533,0.0010572649203814785,0.9990937729253873,0.9823933025503819,0.016700470375005393
03,03,282996,80469,64,80405,79193,1212,0.28434677521943774,0.0007953373348742994,0.9992046626651258,0.9841429618859436,0.015061700779182046
04,04,216662,52899,39,52860,52078,782,0.2441544894813119,0.0007372540123631826,0.9992627459876369,0.9844798578423033,0.01478288814533356
05,05,162532,41434,45,41389,40554,835,0.25492826028105237,0.0010860645846406333,0.9989139354153593,0.9787614036781387,0.02015253173722064
06,06,216913,70593,66,70527,69328,1199,0.32544384154015665,0.0009349368917598062,0.9990650631082402,0.9820803762412704,0.016984686866969814
07,07,232278,66798,87,66709,65610,1099,0.2875778162374396,0.0013024342046169047,0.998667624779185,0.9822150363783346,0.016452588400850326
08,08,199512,52291,93,52198,51131,1067,0.26209451060587835,0.0017785087299917767,0.9982214912700083,0.977816450249565,0.020405041020443288
09,09,199688,66390,49,66341,65430,911,0.33246865109570933,0.0007380629612893508,0.9992619370387107,0.9855399909624943,0.013721946076216298
10,10,202537,54156,54,54102,53262,840,0.2673881809249668,0.0009971194327498339,0.9990028805672502,0.9834921338355861,0.015510746731664082
11,11,203868,48070,43,48032,47012,1020,0.2357898247885887,0.0008945288121489494,0.9992094861660079,0.9779904306220095,0.021219055543998337
12,12,181762,54868,45,54823,53893,930,0.30186727698858945,0.0008201501786104834,0.9991798498213895,0.9822300794634395,0.01694977035794999
