district_id,district_name,electoral_district_id,electoral_district_type,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,invalid_votes,valid_votes,vote_yes,vote_no
01,Mitte,1A ,postal_voting_district,0,0,0,0,521,521,1,520,293,227
01,Mitte,1B ,postal_voting_district,0,0,0,0,541,541,1,540,333,207
01,Mitte,1C ,postal_voting_district,0,0,0,0,539,539,2,537,310,227
01,Mitte,1D ,postal_voting_district,0,0,0,0,544,544,2,542,306,236
01,Mitte,1E ,postal_voting_district,0,0,0,0,544,544,2,542,353,189
01,Mitte,1F ,postal_voting_district,0,0,0,0,1097,1097,1,1096,676,420
01,Mitte,1G ,postal_voting_district,0,0,0,0,1053,1053,0,1053,632,421
01,Mitte,1H ,postal_voting_district,0,0,0,0,1091,1091,1,1090,664,426
01,Mitte,1J ,postal_voting_district,0,0,0,0,1101,1101,1,1100,669,431
01,Mitte,1K ,postal_voting_district,0,0,0,0,1095,1095,1,1094,711,383
01,Mitte,1L ,postal_voting_district,0,0,0,0,1082,1082,4,1078,663,415
01,Mitte,1M ,postal_voting_district,0,0,0,0,1067,1067,1,1066,657,409
01,Mitte,1N ,postal_voting_district,0,0,0,0,1093,1093,1,1092,677,415
01,Mitte,1O ,postal_voting_district,0,0,0,0,1080,1080,2,1078,674,404
01,Mitte,1P ,postal_voting_district,0,0,0,0,1072,1072,1,1071,677,394
01,Mitte,1Q ,postal_voting_district,0,0,0,0,543,543,1,542,353,189
01,Mitte,1R ,postal_voting_district,0,0,0,0,544,544,1,543,306,237
01,Mitte,1S ,postal_voting_district,0,0,0,0,539,539,1,538,310,228
01,Mitte,1T ,postal_voting_district,0,0,0,0,541,541,0,541,333,208
01,Mitte,1U ,postal_voting_district,0,0,0,0,521,521,0,521,293,228
01,Mitte,100,electoral_district,3071,2814,257,0,594,1,2,592,291,301
01,Mitte,101,electoral_district,2429,2096,333,0,533,4,3,530,281,249
01,Mitte,105,electoral_district,3960,3565,395,0,882,1,2,880,410,470
01,Mitte,107,electoral_district,3531,3226,305,0,744,5,1,743,274,469
01,Mitte,111,electoral_district,2213,2021,192,0,540,7,2,538,183,355
01,Mitte,112,electoral_district,2396,2217,179,0,558,6,1,557,198,359
01,Mitte,115,electoral_district,3153,2862,291,0,632,2,2,630,244,386
01,Mitte,118,electoral_district,2499,2248,251,0,532,4,0,532,247,285
