country,total,01_mitte,02_friedrichshain_kreuzberg,03_pankow,04_charlottenburg_wilmersdorf,05_spandau,06_steglitz_zehlendorf,07_tempelhof_schöneberg,08_neukölln,09_treptow_köpenick,10_marzahn_hellersdorf,11_lichtenberg,12_reinickendorf
Belgien,2110,407,358,273,196,42,134,165,235,92,38,83,87
Bulgarien,26941,5962,1803,1511,1562,2894,862,1833,3011,1332,1247,2031,2893
Dänemark,2652,500,498,419,301,57,118,213,314,71,36,69,56
Estland,846,148,94,118,82,39,55,74,76,37,47,42,34
Finnland,1958,320,282,307,264,50,116,172,194,105,12,86,50
Frankreich,18492,3589,3460,2502,1903,297,946,1548,2009,598,138,708,794
Griechenland,13257,2392,1445,1027,1444,559,1111,1590,1491,434,356,603,805
Irland,4380,783,1002,581,387,60,180,288,656,163,36,169,75
Italien,31862,5501,5136,4087,3213,1126,1654,2884,3572,1282,434,1506,1467
Kroatien,12658,1649,869,582,1547,1264,1226,1999,1347,399,255,482,1039
Lettland,3327,456,214,240,402,280,173,235,170,191,432,356,178
Litauen,2983,486,257,289,337,206,176,254,199,161,223,218,177
Luxemburg,999,226,181,136,131,15,47,81,76,46,9,39,12
Malta,138,22,28,19,9,0,3,15,18,3,0,12,9
Niederlande,6626,1142,1168,883,693,212,429,590,694,282,71,244,218
Österreich,11324,1911,1604,1537,1338,376,933,1066,1084,476,158,400,441
Polen,49697,6422,2767,3215,4964,5754,3593,4797,4936,2661,2835,3342,4411
Portugal,5947,1074,833,744,508,215,250,403,532,260,276,550,302
Rumänien,22172,2869,1004,1431,1797,2013,880,1476,2030,1566,3647,2106,1353
Schweden,3936,707,676,532,380,83,210,281,598,146,51,163,109
Slowakei,1451,229,167,172,132,75,103,100,106,110,78,109,70
Slowenien,1467,267,176,155,157,110,100,104,153,50,27,80,88
Spanien,14954,2984,2761,1996,1312,376,714,1080,1538,723,223,786,461
Tschechische Republik,2449,420,244,285,228,115,149,192,224,191,120,172,109
Ehemalige Tschechoslowakei¹,38,,0,12,22,,4,0,,0,,,
Ungarn,6390,950,586,711,605,409,376,447,477,425,461,562,381
Zypern,435,97,59,63,51,6,32,40,41,15,0,19,12
,,,,,,,,,,,,,
