address,district_id,district_name,electoral_district_type,electoral_district_id,postal_voting_district_id,electoral_district_berlin_election_id,electoral_district_federal_election_id,berlin_east_west,eligible_voters,eligible_voters_a1,eligible_voters_a1_percentage,eligible_voters_a2,eligible_voters_a2_percentage,eligible_voters_a3,eligible_voters_a3_percentage,voters,voters_percentage,voters_with_voting_license,voters_with_voting_license_percentage,valid_votes,valid_votes_percentage,invalid_votes,invalid_votes_percentage,party_grüne,party_grüne_percentage,party_cdu,party_cdu_percentage,party_spd,party_spd_percentage,party_die_linke,party_die_linke_percentage,party_afd,party_afd_percentage,party_die_partei,party_die_partei_percentage,party_fdp,party_fdp_percentage,party_tierschutzpartei,party_tierschutzpartei_percentage,party_mera25,party_mera25_percentage,party_volt,party_volt_percentage,party_piraten,party_piraten_percentage,party_familie,party_familie_percentage,party_ödp,party_ödp_percentage,party_freie_wähler,party_freie_wähler_percentage,party_tierschutz_hier,party_tierschutz_hier_percentage,party_big,party_big_percentage,party_verjüngungsforschung,party_verjüngungsforschung_percentage,party_pdh,party_pdh_percentage,party_heimat,party_heimat_percentage,party_dkp,party_dkp_percentage,party_menschliche_welt,party_menschliche_welt_percentage,party_bündnis_c,party_bündnis_c_percentage,party_mlpd,party_mlpd_percentage,party_sgp,party_sgp_percentage,party_abg,party_abg_percentage,party_die_basis,party_die_basis_percentage,party_bündnis_deutschand,party_bündnis_deutschand_percentage,party_bsw,party_bsw_percentage,party_dawa,party_dawa_percentage,party_klimaliste,party_klimaliste_percentage,party_letzte_generation,party_letzte_generation_percentage,party_pdv,party_pdv_percentage,party_pdf,party_pdf_percentage,party_v_partei3,party_v_partei3_percentage,aufn
01W100,01,Mitte,W,100,011A,1,75,W,816,580,71.1,236,28.9,0,0.0,291,35.7,4,1.4,288,99.0,3,1.0,75,26.0,20,6.9,38,13.2,18,6.3,12,4.2,10,3.5,24,8.3,1,0.3,14,4.9,34,11.8,2,0.7,1,0.3,3,1.0,2,0.7,4,1.4,3,1.0,0,0.0,1,0.3,0,0.0,0,0.0,0,0.0,1,0.3,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,17,5.9,4,1.4,0,0.0,2,0.7,0,0.0,1,0.3,0,0.0,
01W101,01,Mitte,W,101,011A,1,75,W,1158,906,78.2,252,21.8,0,0.0,298,25.7,5,1.7,296,99.3,2,0.7,41,13.9,32,10.8,27,9.1,24,8.1,42,14.2,11,3.7,12,4.1,9,3.0,8,2.7,20,6.8,2,0.7,1,0.3,0,0.0,0,0.0,2,0.7,0,0.0,0,0.0,2,0.7,1,0.3,0,0.0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24,8.1,34,11.5,1,0.3,0,0.0,0,0.0,0,0.0,2,0.7,
01W102,01,Mitte,W,102,011B,1,75,W,1002,548,54.7,454,45.3,0,0.0,274,27.3,8,2.9,273,99.6,1,0.4,74,27.1,51,18.7,34,12.5,6,2.2,21,7.7,6,2.2,31,11.4,3,1.1,3,1.1,17,6.2,1,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.4,3,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.1,13,4.8,3,1.1,0,0.0,2,0.7,1,0.4,0,0.0,0,0.0,
01W103,01,Mitte,W,103,011B,1,75,W,997,589,59.1,408,40.9,0,0.0,357,35.8,16,4.5,356,99.7,1,0.3,103,28.9,51,14.3,40,11.2,14,3.9,19,5.3,15,4.2,31,8.7,9,2.5,2,0.6,31,8.7,1,0.3,0,0.0,1,0.3,0,0.0,0,0.0,1,0.3,0,0.0,2,0.6,0,0.0,0,0.0,1,0.3,0,0.0,0,0.0,0,0.0,1,0.3,0,0.0,1,0.3,21,5.9,3,0.8,1,0.3,7,2.0,0,0.0,1,0.3,0,0.0,
01W104,01,Mitte,W,104,011C,1,75,O,1123,688,61.3,435,38.7,0,0.0,407,36.2,10,2.5,405,99.5,2,0.5,104,25.7,62,15.3,51,12.6,35,8.6,24,5.9,16,4.0,26,6.4,5,1.2,8,2.0,25,6.2,6,1.5,0,0.0,1,0.2,0,0.0,2,0.5,0,0.0,1,0.2,1,0.2,0,0.0,1,0.2,1,0.2,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,27,6.7,0,0.0,1,0.2,5,1.2,0,0.0,2,0.5,0,0.0,
01W105,01,Mitte,W,105,011D,1,75,O,938,596,63.5,342,36.5,0,0.0,354,37.7,4,1.1,354,100.0,0,0.0,104,29.4,40,11.3,47,13.3,25,7.1,19,5.4,11,3.1,25,7.1,4,1.1,11,3.1,30,8.5,4,1.1,3,0.8,0,0.0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,2.8,0,0.0,14,4.0,2,0.6,1,0.3,1,0.3,0,0.0,1,0.3,0,0.0,
01W106,01,Mitte,W,106,011D,1,75,O,1007,581,57.7,426,42.3,0,0.0,327,32.5,9,2.8,327,100.0,0,0.0,91,27.8,47,14.4,37,11.3,19,5.8,16,4.9,12,3.7,35,10.7,4,1.2,8,2.4,37,11.3,1,0.3,0,0.0,1,0.3,1,0.3,0,0.0,0,0.0,0,0.0,3,0.9,0,0.0,0,0.0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3,1,0.3,9,2.8,0,0.0,0,0.0,0,0.0,2,0.6,1,0.3,0,0.0,
01W107,01,Mitte,W,107,011C,1,75,O,785,486,61.9,299,38.1,0,0.0,245,31.2,5,2.0,245,100.0,0,0.0,53,21.6,36,14.7,27,11.0,25,10.2,22,9.0,8,3.3,18,7.3,4,1.6,4,1.6,10,4.1,1,0.4,0,0.0,0,0.0,1,0.4,3,1.2,1,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30,12.2,0,0.0,1,0.4,0,0.0,0,0.0,0,0.0,0,0.0,
01W108,01,Mitte,W,108,011F,1,75,O,1135,618,54.4,517,45.6,0,0.0,385,33.9,12,3.1,383,99.5,2,0.5,103,26.9,50,13.1,45,11.7,19,5.0,28,7.3,11,2.9,43,11.2,3,0.8,6,1.6,31,8.1,4,1.0,0,0.0,1,0.3,4,1.0,0,0.0,0,0.0,0,0.0,2,0.5,0,0.0,2,0.5,0,0.0,0,0.0,1,0.3,0,0.0,0,0.0,0,0.0,1,0.3,24,6.3,0,0.0,1,0.3,4,1.0,0,0.0,0,0.0,0,0.0,
01W109,01,Mitte,W,109,011E,1,75,O,1100,682,62.0,418,38.0,0,0.0,443,40.3,13,2.9,442,99.8,1,0.2,129,29.2,59,13.3,45,10.2,42,9.5,21,4.8,10,2.3,28,6.3,15,3.4,8,1.8,32,7.2,3,0.7,1,0.2,1,0.2,2,0.5,1,0.2,1,0.2,0,0.0,1,0.2,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,36,8.1,2,0.5,0,0.0,3,0.7,0,0.0,0,0.0,0,0.0,
