feature,year_1994,year_1999,year_2004,year_2009,year_2014,year_2019,year_2024
Wahlberechtigte,2513128,2431784,2444105,2473787,2519758,2508435,2495665
Wählende,1343515,970274,942981,869339,1177832,1520678,1553432
Briefwählende,182384,181323,210424,215012,335916,469793,671554
Wahllokalwählende,1161131,788951,732557,654327,841916,1050885,881878
