feature,year_1994,year_1999,year_2004,year_2009,year_2014,year_2019,year_2024
Wahlberechtigte,1541739,1462027,1439590,1435802,1470613,1459675,1446447
Wählende,860403,628738,600356,549152,727869,894135,892895
Briefwählende,129416,125153,138942,139818,214816,284751,390251
Wahllokalwählende,730987,503585,461414,409334,513053,609384,502644
