feature,year_1994,year_1999,year_2004,year_2009,year_2014,year_2019,year_2024
Wahlberechtigte,100,94.8,93.4,93.1,95.4,94.7,93.8
Wählende,100,73.1,69.8,63.8,84.6,103.9,103.8
Briefwählende,100,96.7,107.4,108,166,220,301.5
Wahllokalwählende,100,68.9,63.1,56,70.2,83.4,68.8
