address,district_id,district_name,electoral_district_id,electoral_district_type,postal_voting_district_id,berlin_east_west,electoral_district_berlin_election_id,electoral_district_federal_election_id,invalid_votes,valid_votes,party_spd,party_spd_percentage,party_cdu,party_cdu_percentage,party_grüne,party_grüne_percentage,party_die_linke,party_die_linke_percentage,party_afd,party_afd_percentage,party_fdp,party_fdp_percentage,others,others_percentage
Adresse,Bezirksnummer,Bezirksname,Wahlbezirk,Wahlbezirksart,Briefwahlbezirksnummer,OstWest,Abgeordnetenhauswahlkreis,Bundestagswahlkreis,Wahlberechtigte insgesamt,Wählende,Ungültige Stimmen,Gültige Stimmen,SPD,SPD in Prozent,CDU,CDU in Prozent,GRÜNE,GRÜNE in Prozent,DIE LINKE,DIE LINKE in Prozent,AfD,AfD in Prozent,FDP,FDP in Prozent
01B1A,01,Mitte,1A,B,1A,W,1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01B1B,01,Mitte,1B,B,1B,W,1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01B1C,01,Mitte,1C,B,1C,O,1,75,0,578,13,565,69,12.2,93,16.5,180,31.9,32,5.7,25,4.4,50,8.8
01B1D,01,Mitte,1D,B,1D,O,1,75,0,587,12,575,71,12.3,96,16.7,184,32,33,5.7,26,4.5,52,9
01B1E,01,Mitte,1E,B,1E,O,1,75,0,625,8,617,83,13.5,108,17.5,205,33.2,47,7.6,33,5.3,57,9.2
01B1F,01,Mitte,1F,B,1F,O,1,75,0,707,1,706,96,13.6,122,17.3,224,31.7,67,9.5,42,5.9,62,8.8
01B1G,01,Mitte,1G,B,1G,O,1,75,0,688,1,687,101,14.7,115,16.7,242,35.2,58,8.4,36,5.2,54,7.9
01B1H,01,Mitte,1H,B,1H,O,1,75,0,462,1,461,70,15.2,72,15.6,174,37.7,32,6.9,21,4.6,31,6.7
01B1I,01,Mitte,1I,B,1I,O,1,75,0,465,2,463,65,14,63,13.6,185,40,39,8.4,20,4.3,35,7.6
01B1J,01,Mitte,1J,B,1J,O,1,75,0,618,1,617,89,14.4,95,15.4,236,38.2,54,8.8,30,4.9,49,7.9
01B1K,01,Mitte,1K,B,1K,O,1,75,0,615,3,612,80,13.1,69,11.3,254,41.5,59,9.6,25,4.1,50,8.2
01B1L,01,Mitte,1L,B,1L,O,1,75,0,595,2,593,79,13.3,71,12,254,42.8,51,8.6,22,3.7,46,7.8
01B1M,01,Mitte,1M,B,1M,O,1,75,0,638,1,637,87,13.7,80,12.6,276,43.3,43,6.8,23,3.6,47,7.4
01B1N,01,Mitte,1N,B,1N,O,1,75,0,514,1,513,70,13.6,64,12.5,225,43.9,37,7.2,19,3.7,39,7.6
01B1P,01,Mitte,1P,B,1P,O,1,75,0,470,1,469,65,13.9,59,12.6,205,43.7,32,6.8,17,3.6,35,7.5
01B2A,01,Mitte,2A,B,2A,O,2,75,0,518,2,516,72,14,93,18,88,17.1,83,16.1,53,10.3,56,10.9
01B2B,01,Mitte,2B,B,2B,O,2,75,0,633,3,630,89,14.1,114,18.1,110,17.5,103,16.3,65,10.3,68,10.8
01B2C,01,Mitte,2C,B,2C,O,2,75,0,623,3,620,88,14.2,112,18.1,108,17.4,101,16.3,64,10.3,67,10.8
01B2D,01,Mitte,2D,B,2D,O,2,75,0,524,0,524,75,14.3,69,13.2,133,25.4,111,21.2,38,7.3,28,5.3
01B2E,01,Mitte,2E,B,2E,O,2,75,0,572,0,572,83,14.5,72,12.6,154,26.9,117,20.5,41,7.2,26,4.5
01B2F,01,Mitte,2F,B,2F,O,2,75,0,518,0,518,76,14.7,66,12.7,142,27.4,108,20.8,37,7.1,24,4.6
01B2G,01,Mitte,2G,B,2G,O,2,75,0,477,0,477,63,13.2,65,13.6,137,28.7,81,17,33,6.9,31,6.5
01B2H,01,Mitte,2H,B,2H,O,2,75,0,459,0,459,61,13.3,62,13.5,132,28.8,78,17,32,7,31,6.8
01B2I,01,Mitte,2I,B,2I,O,2,75,0,425,5,420,58,13.8,57,13.6,95,22.6,96,22.9,40,9.5,23,5.5
01B2J,01,Mitte,2J,B,2J,O,2,75,0,375,9,366,51,13.9,47,12.8,54,14.8,107,29.2,48,13.1,14,3.8
01B2K,01,Mitte,2K,B,2K,O,2,75,0,354,10,344,49,14.2,45,13.1,48,14,105,30.5,46,13.4,11,3.2
01B2L,01,Mitte,2L,B,2L,O,2,75,0,422,1,421,60,14.3,60,14.3,98,23.3,93,22.1,32,7.6,28,6.7
01B2M,01,Mitte,2M,B,2M,O,2,75,0,495,1,494,71,14.4,71,14.4,116,23.5,110,22.3,38,7.7,33,6.7
01B2N,01,Mitte,2N,B,2N,O,2,75,0,556,2,554,80,14.4,74,13.4,175,31.6,87,15.7,36,6.5,25,4.5
01B2P,01,Mitte,2P,B,2P,O,2,75,0,265,1,264,38,14.4,35,13.3,86,32.6,41,15.5,17,6.4,11,4.2
01B2Q,01,Mitte,2Q,B,2Q,O,2,75,0,535,2,533,77,14.4,71,13.3,168,31.5,83,15.6,34,6.4,24,4.5
01B3A,01,Mitte,3A,B,3A,W,3,75,0,310,0,310,38,12.3,20,6.5,120,38.7,32,10.3,15,4.8,12,3.9
01B3B,01,Mitte,3B,B,3B,W,3,75,0,340,0,340,43,12.6,23,6.8,133,39.1,36,10.6,17,5,14,4.1
01B3C,01,Mitte,3C,B,3C,W,3,75,0,484,6,478,71,14.9,51,10.7,194,40.6,38,7.9,21,4.4,20,4.2
01B3D,01,Mitte,3D,B,3D,W,3,75,0,365,0,365,52,14.2,61,16.7,116,31.8,29,7.9,27,7.4,22,6
01B3E,01,Mitte,3E,B,3E,W,3,75,0,518,10,508,80,15.7,65,12.8,204,40.2,31,6.1,19,3.7,22,4.3
01B3F,01,Mitte,3F,B,3F,W,3,75,0,508,10,498,78,15.7,63,12.7,201,40.4,31,6.2,19,3.8,22,4.4
01B3G,01,Mitte,3G,B,3G,W,3,75,0,499,2,497,87,17.5,78,15.7,173,34.8,34,6.8,30,6,29,5.8
01B3H,01,Mitte,3H,B,3H,W,3,75,0,449,0,449,78,17.4,70,15.6,159,35.4,31,6.9,27,6,25,5.6
01B3I,01,Mitte,3I,B,3I,W,3,75,0,344,5,339,63,18.6,56,16.5,118,34.8,22,6.5,21,6.2,24,7.1
01B3J,01,Mitte,3J,B,3J,W,3,75,0,464,14,450,84,18.7,76,16.9,146,32.4,27,6,29,6.4,38,8.4
01B3K,01,Mitte,3K,B,3K,W,3,75,0,432,6,426,74,17.4,94,22.1,125,29.3,25,5.9,36,8.5,36,8.5
01B3L,01,Mitte,3L,B,3L,W,3,75,0,543,3,540,89,16.5,126,23.3,147,27.2,33,6.1,48,8.9,43,8
01B3M,01,Mitte,3M,B,3M,W,3,75,0,439,0,439,68,15.5,84,19.1,144,32.8,33,7.5,32,7.3,31,7.1
01B3N,01,Mitte,3N,B,3N,W,3,75,0,358,1,357,54,15.1,45,12.6,140,39.2,31,8.7,17,4.8,23,6.4
01B3P,01,Mitte,3P,B,3P,W,3,75,0,365,0,365,56,15.3,60,16.4,128,35.1,29,7.9,22,6,25,6.8
01B4A,01,Mitte,4A,B,4A,W,4,75,0,313,1,312,35,11.2,23,7.4,112,35.9,30,9.6,15,4.8,10,3.2
01B4B,01,Mitte,4B,B,4B,W,4,75,0,289,1,288,32,11.1,21,7.3,104,36.1,28,9.7,14,4.9,10,3.5
01B4C,01,Mitte,4C,B,4C,W,4,75,0,329,1,328,40,12.2,26,7.9,131,39.9,33,10.1,15,4.6,12,3.7
01B4D,01,Mitte,4D,B,4D,W,4,75,0,386,1,385,49,12.7,32,8.3,162,42.1,40,10.4,14,3.6,15,3.9
01B4E,01,Mitte,4E,B,4E,W,4,75,0,329,1,328,42,12.8,27,8.2,140,42.7,34,10.4,12,3.7,13,4
01B4F,01,Mitte,4F,B,4F,W,4,75,0,384,1,383,50,13.1,35,9.1,167,43.6,41,10.7,14,3.7,17,4.4
01B4G,01,Mitte,4G,B,4G,W,4,75,0,448,1,447,57,12.8,43,9.6,196,43.8,49,11,16,3.6,22,4.9
01B4H,01,Mitte,4H,B,4H,W,4,75,0,370,1,369,47,12.7,38,10.3,164,44.4,41,11.1,13,3.5,17,4.6
01B4I,01,Mitte,4I,B,4I,W,4,75,0,363,1,362,46,12.7,38,10.5,158,43.6,38,10.5,15,4.1,14,3.9
01B4J,01,Mitte,4J,B,4J,W,4,75,0,399,1,398,51,12.8,42,10.6,172,43.2,41,10.3,17,4.3,14,3.5
01B4K,01,Mitte,4K,B,4K,W,4,75,0,458,1,457,57,12.5,46,10.1,190,41.6,50,10.9,23,5,15,3.3
01B4L,01,Mitte,4L,B,4L,W,4,75,0,367,0,367,46,12.5,32,8.7,146,39.8,42,11.4,21,5.7,13,3.5
01B4M,01,Mitte,4M,B,4M,W,4,75,0,432,1,431,52,12.1,37,8.6,164,38.1,53,12.3,24,5.6,16,3.7
01B4N,01,Mitte,4N,B,4N,W,4,75,0,477,1,476,58,12.2,42,8.8,182,38.2,59,12.4,27,5.7,17,3.6
01B5A,01,Mitte,5A,B,5A,W,5,75,0,309,2,307,48,15.6,49,16,86,28,26,8.5,24,7.8,10,3.3
01B5B,01,Mitte,5B,B,5B,W,5,75,0,352,3,349,64,18.3,76,21.8,69,19.8,23,6.6,34,9.7,14,4
01B5C,01,Mitte,5C,B,5C,W,5,75,0,428,3,425,79,18.6,94,22.1,86,20.2,30,7.1,42,9.9,18,4.2
01B5D,01,Mitte,5D,B,5D,W,5,75,0,289,2,287,50,17.4,51,17.8,72,25.1,23,8,28,9.8,10,3.5
01B5E,01,Mitte,5E,B,5E,W,5,75,0,310,2,308,53,17.2,48,15.6,86,27.9,27,8.8,28,9.1,10,3.2
01B5F,01,Mitte,5F,B,5F,W,5,75,0,297,2,295,54,18.3,63,21.4,66,22.4,19,6.4,33,11.2,12,4.1
01B5G,01,Mitte,5G,B,5G,W,5,75,0,353,1,352,46,13.1,35,9.9,131,37.2,40,11.4,22,6.3,10,2.8
01B5H,01,Mitte,5H,B,5H,W,5,75,0,382,0,382,61,16,58,15.2,124,32.5,37,9.7,32,8.4,14,3.7
01B5I,01,Mitte,5I,B,5I,W,5,75,0,359,1,358,54,15.1,36,10.1,135,37.7,43,12,24,6.7,10,2.8
01B5J,01,Mitte,5J,B,5J,W,5,75,0,308,3,305,50,16.4,28,9.2,107,35.1,37,12.1,20,6.6,8,2.6
01B5K,01,Mitte,5K,B,5K,W,5,75,0,194,1,193,29,15,21,10.9,71,36.8,23,11.9,12,6.2,7,3.6
01B5L,01,Mitte,5L,B,5L,W,5,75,0,364,1,363,47,12.9,43,11.8,124,34.2,38,10.5,21,5.8,17,4.7
01B5M,01,Mitte,5M,B,5M,W,5,75,0,191,0,191,24,12.6,23,12,67,35.1,20,10.5,11,5.8,10,5.2
01B5N,01,Mitte,5N,B,5N,W,5,75,0,319,0,319,43,13.5,33,10.3,122,38.2,37,11.6,20,6.3,10,3.1
01B6A,01,Mitte,6A,B,6A,W,6,75,0,378,3,375,40,10.7,42,11.2,112,29.9,42,11.2,33,8.8,8,2.1
01B6B,01,Mitte,6B,B,6B,W,6,75,0,376,3,373,41,11,41,11,112,30,42,11.3,33,8.8,8,2.1
01B6C,01,Mitte,6C,B,6C,W,6,75,0,443,3,440,55,12.5,34,7.7,162,36.8,58,13.2,23,5.2,10,2.3
01B6D,01,Mitte,6D,B,6D,W,6,75,0,361,3,358,48,13.4,27,7.5,124,34.6,47,13.1,20,5.6,10,2.8
01B6E,01,Mitte,6E,B,6E,W,6,75,0,329,1,328,36,11,23,7,126,38.4,46,14,13,4,11,3.4
01B6F,01,Mitte,6F,B,6F,W,6,75,0,444,1,443,45,10.2,35,7.9,179,40.4,62,14,18,4.1,15,3.4
01B6G,01,Mitte,6G,B,6G,W,6,75,0,421,1,420,40,9.5,31,7.4,169,40.2,57,13.6,14,3.3,14,3.3
01B6H,01,Mitte,6H,B,6H,W,6,75,0,374,1,373,38,10.2,32,8.6,146,39.1,50,13.4,17,4.6,11,2.9
01B6I,01,Mitte,6I,B,6I,W,6,75,0,426,1,425,46,10.8,34,8,166,39.1,62,14.6,22,5.2,14,3.3
01B6J,01,Mitte,6J,B,6J,W,6,75,0,424,2,422,48,11.4,34,8.1,149,35.3,64,15.2,29,6.9,15,3.6
01B7A,01,Mitte,7A,B,7A,W,7,75,0,478,3,475,59,12.4,33,6.9,184,38.7,51,10.7,21,4.4,16,3.4
01B7B,01,Mitte,7B,B,7B,W,7,75,0,586,2,584,70,12,43,7.4,246,42.1,60,10.3,21,3.6,19,3.3
01B7C,01,Mitte,7C,B,7C,W,7,75,0,603,2,601,71,11.8,44,7.3,252,41.9,62,10.3,22,3.7,20,3.3
01B7D,01,Mitte,7D,B,7D,W,7,75,0,562,3,559,66,11.8,48,8.6,232,41.5,59,10.6,20,3.6,17,3
01B7E,01,Mitte,7E,B,7E,W,7,75,0,377,1,376,55,14.6,44,11.7,135,35.9,37,9.8,20,5.3,17,4.5
01B7F,01,Mitte,7F,B,7F,W,7,75,0,401,2,399,61,15.3,47,11.8,136,34.1,46,11.5,26,6.5,17,4.3
01B7G,01,Mitte,7G,B,7G,W,7,75,0,234,2,232,42,18.1,31,13.4,68,29.3,19,8.2,17,7.3,10,4.3
01B7H,01,Mitte,7H,B,7H,W,7,75,0,267,1,266,49,18.4,34,12.8,75,28.2,24,9,21,7.9,10,3.8
01B7I,01,Mitte,7I,B,7I,W,7,75,0,329,1,328,57,17.4,41,12.5,108,32.9,38,11.6,25,7.6,13,4
01B7J,01,Mitte,7J,B,7J,W,7,75,0,323,2,321,52,16.2,35,10.9,97,30.2,42,13.1,27,8.4,13,4
01W100,01,Mitte,100,W,1A,W,1,75,544,178,5,173,34,19.7,29,16.8,37,21.4,21,12.1,13,7.5,6,3.5
01W101,01,Mitte,101,W,1A,W,1,75,1098,369,7,362,59,16.3,52,14.4,100,27.6,42,11.6,25,6.9,18,5
01W102,01,Mitte,102,W,1B,W,1,75,375,121,3,118,25,21.2,22,18.6,16,13.6,14,11.9,10,8.5,3,2.5
01W103,01,Mitte,103,W,1B,W,1,75,1047,443,2,441,68,15.4,63,14.3,145,32.9,41,9.3,32,7.3,33,7.5
01W104,01,Mitte,104,W,1C,O,1,75,1016,478,3,475,61,12.8,58,12.2,175,36.8,32,6.7,27,5.7,42,8.8
01W105,01,Mitte,105,W,1D,O,1,75,845,392,0,392,39,9.9,42,10.7,178,45.4,23,5.9,14,3.6,37,9.4
01W106,01,Mitte,106,W,1D,O,1,75,1042,475,0,475,48,10.1,51,10.7,218,45.9,30,6.3,17,3.6,45,9.5
01W107,01,Mitte,107,W,1C,O,1,75,823,327,0,327,48,14.7,46,14.1,111,33.9,32,9.8,28,8.6,30,9.2
01W108,01,Mitte,108,W,1F,O,1,75,1095,467,1,466,63,13.5,64,13.7,179,38.4,33,7.1,32,6.9,35,7.5
01W109,01,Mitte,109,W,1E,O,1,75,1166,526,2,524,66,12.6,57,10.9,214,40.8,49,9.4,32,6.1,39,7.4
01W110,01,Mitte,110,W,1E,O,1,75,870,416,2,414,52,12.6,45,10.9,184,44.4,25,6,20,4.8,38,9.2
01W111,01,Mitte,111,W,1H,O,1,75,951,344,9,335,88,26.3,78,23.3,35,10.4,35,10.4,37,11,9,2.7
01W112,01,Mitte,112,W,1C,O,1,75,1162,566,3,563,42,7.5,42,7.5,245,43.5,65,11.5,22,3.9,37,6.6
01W113,01,Mitte,113,W,1I,O,1,75,787,386,2,384,50,13,37,9.6,188,49,22,5.7,15,3.9,15,3.9
01W114,01,Mitte,114,W,1I,O,1,75,911,456,0,456,42,9.2,31,6.8,230,50.4,43,9.4,15,3.3,19,4.2
01W115,01,Mitte,115,W,1L,O,1,75,1239,639,0,639,80,12.5,50,7.8,298,46.6,50,7.8,21,3.3,34,5.3
01W116,01,Mitte,116,W,1M,O,1,75,1201,626,1,625,66,10.6,44,7,304,48.6,53,8.5,22,3.5,29,4.6
01W117,01,Mitte,117,W,1N,O,1,75,1191,622,0,622,55,8.8,64,10.3,285,45.8,66,10.6,11,1.8,40,6.4
01W118,01,Mitte,118,W,1E,O,1,75,1190,623,0,623,63,10.1,45,7.2,291,46.7,52,8.3,22,3.5,31,5
01W119,01,Mitte,119,W,1L,O,1,75,1028,563,1,562,53,9.4,38,6.8,272,48.4,52,9.3,20,3.6,31,5.5
01W120,01,Mitte,120,W,1E,O,1,75,1064,523,1,522,63,12.1,35,6.7,221,42.3,50,9.6,25,4.8,31,5.9
01W121,01,Mitte,121,W,1J,O,1,75,1110,552,3,549,70,12.8,44,8,235,42.8,58,10.6,26,4.7,33,6
