feature,year_1994,year_1999,year_2004,year_2009,year_2014,year_2019,year_2024
Wahlberechtigte,x,x,x,x,x,x,x
Wählende,49.7,35.2,34.1,30.8,42.9,59.7,63
Briefwählende ¹,11,16.4,20.9,23.5,26.9,29.5,42.6
Wahllokalwählende ¹,89,83.6,79.1,76.5,73.1,70.5,57.4
