address,electoral_district_type,electoral_district_name,electoral_district_id,berlin_east_west,electoral_districts,eligible_voters,eligible_voters_a1,eligible_voters_a1_percentage,eligible_voters_a2,eligible_voters_a2_percentage,eligible_voters_a3,eligible_voters_a3_percentage,voters,voters_percentage,postal_voters,postal_voters_percentage,voters_with_voting_license,voters_with_voting_license_percentage,valid_votes,valid_votes_percentage,invalid_votes,invalid_votes_percentage,party_grüne,party_grüne_percentage,party_cdu,party_cdu_percentage,party_spd,party_spd_percentage,party_die_linke,party_die_linke_percentage,party_afd,party_afd_percentage,party_die_partei,party_die_partei_percentage,party_fdp,party_fdp_percentage,party_tierschutzpartei,party_tierschutzpartei_percentage,party_mera25,party_mera25_percentage,party_volt,party_volt_percentage,party_piraten,party_piraten_percentage,party_familie,party_familie_percentage,party_ödp,party_ödp_percentage,party_freie_wähler,party_freie_wähler_percentage,party_tierschutz_hier,party_tierschutz_hier_percentage,party_big,party_big_percentage,party_verjüngungsforschung,party_verjüngungsforschung_percentage,party_pdh,party_pdh_percentage,party_heimat,party_heimat_percentage,party_dkp,party_dkp_percentage,party_menschliche_welt,party_menschliche_welt_percentage,party_bündnis_c,party_bündnis_c_percentage,party_mlpd,party_mlpd_percentage,party_sgp,party_sgp_percentage,party_abg,party_abg_percentage,party_die_basis,party_die_basis_percentage,party_bündnis_deutschand,party_bündnis_deutschand_percentage,party_bsw,party_bsw_percentage,party_dawa,party_dawa_percentage,party_klimaliste,party_klimaliste_percentage,party_letzte_generation,party_letzte_generation_percentage,party_pdv,party_pdv_percentage,party_pdf,party_pdf_percentage,party_v_partei3,party_v_partei3_percentage
AI1002,Abgeordnetenhauswahlkreis,Marzahn-Hellersdorf 2,1002,O,45,33688,26557,78.8,7131,21.2,0,0.0,17062,50.6,6442,37.8,6515,38.2,16917,99.2,145,0.8,788,4.7,2464,14.6,1968,11.6,1439,8.5,4289,25.4,389,2.3,347,2.1,462,2.7,61,0.4,396,2.3,82,0.5,191,1.1,47,0.3,112,0.7,138,0.8,12,0.1,18,0.1,39,0.2,39,0.2,23,0.1,31,0.2,14,0.1,12,0.1,9,0.1,24,0.1,46,0.3,71,0.4,3194,18.9,15,0.1,15,0.1,47,0.3,24,0.1,92,0.5,19,0.1
AI1003,Abgeordnetenhauswahlkreis,Marzahn-Hellersdorf 3,1003,O,43,34514,28689,83.1,5825,16.9,0,0.0,15586,45.2,5182,33.2,5229,33.5,15418,98.9,168,1.1,668,4.3,1847,12.0,1392,9.0,1152,7.5,5100,33.1,439,2.8,285,1.8,512,3.3,63,0.4,359,2.3,101,0.7,229,1.5,34,0.2,111,0.7,177,1.1,10,0.1,21,0.1,39,0.3,35,0.2,14,0.1,44,0.3,18,0.1,8,0.1,9,0.1,15,0.1,23,0.1,82,0.5,2367,15.4,20,0.1,10,0.1,40,0.3,26,0.2,139,0.9,29,0.2
AI1004,Abgeordnetenhauswahlkreis,Marzahn-Hellersdorf 4,1004,O,52,35185,25252,71.8,9933,28.2,0,0.0,21852,62.1,9101,41.6,9208,42.1,21704,99.3,148,0.7,1759,8.1,3934,18.1,2364,10.9,1514,7.0,4247,19.6,565,2.6,668,3.1,468,2.2,61,0.3,725,3.3,101,0.5,152,0.7,92,0.4,173,0.8,129,0.6,25,0.1,27,0.1,73,0.3,37,0.2,37,0.2,46,0.2,17,0.1,13,0.1,5,0.0,20,0.1,32,0.1,127,0.6,3963,18.3,21,0.1,28,0.1,61,0.3,26,0.1,163,0.8,31,0.1
AI1005,Abgeordnetenhauswahlkreis,Marzahn-Hellersdorf 5,1005,O,60,34337,22383,65.2,11954,34.8,0,0.0,24687,71.9,10969,44.4,11132,45.1,24589,99.6,98,0.4,2297,9.3,5351,21.8,2602,10.6,1276,5.2,4651,18.9,643,2.6,912,3.7,469,1.9,53,0.2,676,2.7,95,0.4,166,0.7,78,0.3,187,0.8,116,0.5,11,0.0,20,0.1,45,0.2,24,0.1,17,0.1,32,0.1,19,0.1,8,0.0,4,0.0,10,0.0,54,0.2,144,0.6,4255,17.3,11,0.0,31,0.1,61,0.2,29,0.1,217,0.9,25,0.1
AI1006,Abgeordnetenhauswahlkreis,Marzahn-Hellersdorf 6,1006,O,42,31073,24558,79.0,6515,21.0,0,0.0,16188,52.1,5933,36.7,5984,37.0,16039,99.1,149,0.9,914,5.7,2541,15.8,1645,10.3,1155,7.2,4399,27.4,457,2.8,339,2.1,420,2.6,53,0.3,374,2.3,71,0.4,209,1.3,39,0.2,109,0.7,156,1.0,15,0.1,15,0.1,49,0.3,29,0.2,32,0.2,30,0.2,7,0.0,13,0.1,8,0.0,25,0.2,39,0.2,74,0.5,2573,16.0,11,0.1,13,0.1,38,0.2,27,0.2,134,0.8,26,0.2
AI0101,Abgeordnetenhauswahlkreis,Mitte 1,101,X,45,31521,19830,62.9,11691,37.1,0,0.0,22473,71.3,10502,46.7,10826,48.2,22428,99.8,45,0.2,7024,31.3,2867,12.8,2483,11.1,1542,6.9,1117,5.0,759,3.4,1745,7.8,270,1.2,388,1.7,1987,8.9,99,0.4,28,0.1,57,0.3,71,0.3,48,0.2,19,0.1,13,0.1,68,0.3,2,0.0,23,0.1,20,0.1,12,0.1,6,0.0,1,0.0,2,0.0,37,0.2,51,0.2,1289,5.7,79,0.4,40,0.2,176,0.8,7,0.0,79,0.4,19,0.1
AI0102,Abgeordnetenhauswahlkreis,Mitte 2,102,O,47,33609,22572,67.2,11037,32.8,0,0.0,21912,65.2,9943,45.4,10186,46.5,21827,99.6,85,0.4,4425,20.3,2865,13.1,2596,11.9,2098,9.6,1926,8.8,769,3.5,1302,6.0,307,1.4,382,1.8,1316,6.0,115,0.5,63,0.3,69,0.3,82,0.4,64,0.3,18,0.1,18,0.1,62,0.3,15,0.1,50,0.2,15,0.1,13,0.1,11,0.1,5,0.0,6,0.0,42,0.2,67,0.3,2751,12.6,76,0.3,20,0.1,153,0.7,14,0.1,86,0.4,26,0.1
AI0103,Abgeordnetenhauswahlkreis,Mitte 3,103,W,46,31189,21115,67.7,10074,32.3,0,0.0,20384,65.4,9053,44.4,9305,45.6,20310,99.6,74,0.4,5718,28.2,2766,13.6,2782,13.7,1524,7.5,1201,5.9,663,3.3,1145,5.6,295,1.5,533,2.6,1438,7.1,102,0.5,34,0.2,72,0.4,73,0.4,45,0.2,29,0.1,14,0.1,66,0.3,10,0.0,15,0.1,18,0.1,13,0.1,7,0.0,2,0.0,0,0.0,27,0.1,57,0.3,1205,5.9,121,0.6,29,0.1,202,1.0,14,0.1,69,0.3,21,0.1
AI0104,Abgeordnetenhauswahlkreis,Mitte 4,104,W,43,29751,21593,72.6,8158,27.4,0,0.0,18604,62.5,7394,39.7,7601,40.9,18513,99.5,91,0.5,5715,30.9,1624,8.8,2082,11.2,2050,11.1,984,5.3,723,3.9,565,3.1,365,2.0,592,3.2,1462,7.9,114,0.6,19,0.1,71,0.4,63,0.3,60,0.3,32,0.2,7,0.0,52,0.3,12,0.1,18,0.1,17,0.1,7,0.0,17,0.1,9,0.0,4,0.0,25,0.1,48,0.3,1103,6.0,228,1.2,58,0.3,251,1.4,16,0.1,92,0.5,28,0.2
AI0105,Abgeordnetenhauswahlkreis,Mitte 5,105,W,43,28109,20792,74.0,7317,26.0,0,0.0,15267,54.3,6589,43.2,6693,43.8,15172,99.4,95,0.6,3139,20.7,2226,14.7,2132,14.1,1636,10.8,1495,9.9,521,3.4,405,2.7,336,2.2,436,2.9,836,5.5,111,0.7,51,0.3,53,0.3,68,0.4,91,0.6,41,0.3,10,0.1,45,0.3,13,0.1,27,0.2,16,0.1,11,0.1,9,0.1,9,0.1,8,0.1,22,0.1,27,0.2,914,6.0,204,1.3,44,0.3,141,0.9,10,0.1,68,0.4,17,0.1
AI0106,Abgeordnetenhauswahlkreis,Mitte 6,106,W,40,27874,21302,76.4,6572,23.6,0,0.0,14358,51.5,5910,41.2,6061,42.2,14289,99.5,69,0.5,3566,25.0,1115,7.8,1451,10.2,2128,14.9,876,6.1,681,4.8,318,2.2,287,2.0,672,4.7,1038,7.3,110,0.8,24,0.2,56,0.4,54,0.4,66,0.5,73,0.5,8,0.1,45,0.3,4,0.0,36,0.3,21,0.1,13,0.1,8,0.1,13,0.1,3,0.0,29,0.2,17,0.1,871,6.1,341,2.4,42,0.3,228,1.6,11,0.1,57,0.4,27,0.2
