id,district_id,electoral_district_id,eligible_voters,voters,invalid_votes,valid_votes,vote_yes,vote_no,voter_turnout,invalid_votes_percentage,valid_votes_percentage,vote_yes_percentage,vote_no_percentage
01100,01,100,3277,617,5,612,544,68,18.828196521208422,0.8103727714748784,99.18962722852513,88.16855753646678,11.021069692058347
01101,01,101,2440,434,1,433,346,87,17.78688524590164,0.2304147465437788,99.76958525345621,79.72350230414746,20.046082949308754
01105,01,105,3905,890,1,889,751,138,22.791293213828425,0.11235955056179776,99.8876404494382,84.38202247191012,15.505617977528091
01107,01,107,3671,913,1,912,828,84,24.870607463906293,0.10952902519167579,99.89047097480832,90.69003285870755,9.200438116100766
01111,01,111,2427,695,1,694,597,97,28.636176349402554,0.14388489208633093,99.85611510791367,85.89928057553958,13.956834532374101
01112,01,112,2124,532,0,532,484,48,25.04708097928437,0.0,100.0,90.97744360902256,9.022556390977442
01115,01,115,3277,804,0,804,692,112,24.534635337198658,0.0,100.0,86.06965174129353,13.930348258706468
01118,01,118,2365,541,0,541,497,44,22.87526427061311,0.0,100.0,91.86691312384472,8.133086876155268
01120,01,120,3546,596,0,596,511,85,16.807670614777216,0.0,100.0,85.73825503355704,14.261744966442953
01121,01,121,2742,584,0,584,521,63,21.298322392414295,0.0,100.0,89.21232876712328,10.787671232876713
01129,01,129,3130,503,3,500,434,66,16.0702875399361,0.5964214711729622,99.40357852882704,86.28230616302187,13.12127236580517
01200,01,200,2065,424,1,423,355,68,20.53268765133172,0.2358490566037736,99.76415094339622,83.72641509433963,16.037735849056602
01202,01,202,3526,789,0,789,664,125,22.376630743051617,0.0,100.0,84.15716096324462,15.842839036755388
01205,01,205,2989,628,0,628,561,67,21.01037136165942,0.0,100.0,89.3312101910828,10.668789808917198
01207,01,207,3096,617,0,617,534,83,19.928940568475454,0.0,100.0,86.54781199351702,13.452188006482983
01209,01,209,3724,805,1,804,735,69,21.616541353383457,0.12422360248447205,99.87577639751552,91.30434782608695,8.571428571428571
01212,01,212,3291,733,2,731,625,106,22.272865390458826,0.2728512960436562,99.72714870395635,85.26603001364256,14.461118690313779
01214,01,214,2989,698,0,698,600,98,23.352291736366677,0.0,100.0,85.95988538681948,14.040114613180515
01217,01,217,2201,449,0,449,388,61,20.399818264425264,0.0,100.0,86.41425389755011,13.585746102449889
01219,01,219,3639,900,1,899,752,147,24.732069249793902,0.1111111111111111,99.8888888888889,83.55555555555556,16.333333333333332
01221,01,221,3935,946,0,946,815,131,24.04066073697586,0.0,100.0,86.1522198731501,13.847780126849896
01300,01,300,3242,579,1,578,470,108,17.85934608266502,0.17271157167530224,99.8272884283247,81.17443868739205,18.65284974093264
01302,01,302,2770,634,3,631,530,101,22.88808664259928,0.47318611987381703,99.52681388012618,83.59621451104101,15.930599369085174
01305,01,305,3247,890,3,887,753,134,27.409916846319682,0.33707865168539325,99.6629213483146,84.6067415730337,15.056179775280897
01307,01,307,2937,594,1,593,527,66,20.224719101123593,0.16835016835016833,99.83164983164983,88.72053872053873,11.11111111111111
01308,01,308,2201,391,0,391,357,34,17.764652430713312,0.0,100.0,91.30434782608695,8.695652173913043
01312,01,312,2443,724,0,724,638,86,29.63569381907491,0.0,100.0,88.12154696132598,11.878453038674033
01315,01,315,2269,552,1,551,455,96,24.327897752313795,0.18115942028985507,99.81884057971014,82.42753623188406,17.391304347826086
01317,01,317,3550,927,0,927,752,175,26.11267605633803,0.0,100.0,81.12189859762675,18.878101402373247
01321,01,321,2263,327,1,326,269,57,14.44984533804684,0.3058103975535168,99.69418960244649,82.26299694189603,17.431192660550458
01323,01,323,2183,411,1,410,362,48,18.827301878149335,0.24330900243309003,99.7566909975669,88.07785888077859,11.678832116788321
01325,01,325,2763,480,0,480,421,59,17.37242128121607,0.0,100.0,87.70833333333333,12.291666666666666
