id,district_id,eligible_voters,voters,invalid_votes,valid_votes,vote_yes,vote_no,voter_turnout,invalid_votes_percentage,valid_votes_percentage,vote_yes_percentage,vote_no_percentage
83,01,201410,55738,112,55626,48521,7105,27.67389901196564,0.20094011266999176,99.79905988733002,87.05192148982741,12.747138397502603
214,02,171981,63384,73,63311,58970,4341,36.855234008407905,0.11517102107787454,99.88482897892213,93.0360974378392,6.848731541082922
420,03,284180,90683,146,90537,79940,10597,31.91040889577029,0.16100040801473264,99.83899959198527,88.15323710066937,11.685762491315902
464,04,217681,67680,120,67560,54330,13230,31.0913676434783,0.1773049645390071,99.822695035461,80.27482269503547,19.54787234042553
520,05,164014,38460,77,38383,29115,9268,23.449217749704292,0.2002080083203328,99.79979199167967,75.70202808112325,24.09776391055642
1008,06,218041,71806,170,71636,54277,17359,32.93233841341766,0.23674901818789515,99.7632509818121,75.5883909422611,24.174860039551014
1064,07,233340,70972,153,70819,57625,13194,30.415702408502614,0.21557797441244436,99.78442202558756,81.19399199684383,18.59043002874373
920,08,203969,57249,151,57098,48243,8855,28.067500453500287,0.2637600656780031,99.736239934322,84.26872085101922,15.467519083302767
783,09,200279,59319,95,59224,50803,8421,29.61818263522386,0.16015104772501224,99.83984895227499,85.64372292182944,14.196126030445559
800,10,202861,47171,96,47075,38899,8176,23.252867727162936,0.20351487142524008,99.79648512857476,82.46380191219181,17.332683216382947
1034,11,204368,51033,104,50929,43203,7726,24.971130509668832,0.20378970470087981,99.79621029529912,84.65698665569337,15.139223639605746
1548,12,181632,48614,111,48503,35662,12841,26.765107470049333,0.22832928785946432,99.77167071214053,73.35746904183979,26.414201670300734
