district,total,between_18_and_25_total,between_18_and_25_percentage,between_25_and_35_total,between_25_and_35_percentage,between_35_and_45_total,between_35_and_45_percentage,between_45_and_60_total,between_45_and_60_percentage,between_60_and_70_total,between_60_and_70_percentage,between_70_and_above_total,between_70_an_above_percentage
1,33780,1941,5.7,7682,22.7,5524,16.4,8041,23.8,2938,8.7,7654,22.7
2,37496,2681,7.2,8254,22,5539,14.8,9340,24.9,3855,10.3,7827,20.9
3,34249,2521,7.4,5997,17.5,5112,14.9,10355,30.2,4029,11.8,6235,18.2
4,34045,1882,5.5,5637,16.6,4893,14.4,9651,28.3,4417,13,7565,22.2
5,29809,1398,4.7,3822,12.8,3532,11.8,8169,27.4,4684,15.7,8204,27.5
6,33090,1373,4.1,3608,10.9,4243,12.8,9323,28.2,4267,12.9,10276,31.1
