district,total,female_total,female_percentage,eu_foreigners_total,eu_foreigners_percentage,between_16_and_18_total,between_16_and_18_percentage
1,39971,19382.0,48.5,5597.0,14.0,659.0,1.6
2,37300,18833.0,50.5,4253.0,11.4,585.0,1.6
3,37553,20050.0,53.4,2780.0,7.4,728.0,1.9
4,37156,19807.0,53.3,3202.0,8.6,662.0,1.8
5,37704,19898.0,52.8,2849.0,7.6,599.0,1.6
6,36125,19122.0,52.9,1925.0,5.3,781.0,2.2
7,35591,18806.0,52.8,1358.0,3.8,807.0,2.3
