district,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_65,germans_between_18_and_65_percentage,germans_above_65,germans_above_65_percentage
1,46443,10245,22.1,8.3,36198,2465,6.8,3691,10.2,22413,61.9,7629,21.1
2,45064,8969,19.9,8.4,36095,2085,5.8,3458,9.6,21571,59.8,8981,24.9
3,39452,2750,7.0,3.1,36702,1754,4.8,3750,10.2,20566,56.0,10632,29.0
4,46731,5850,12.5,4.4,40881,1903,4.7,3846,9.4,23754,58.1,11378,27.8
5,43168,8246,19.1,5.6,34922,2557,7.3,5361,15.4,17879,51.2,9125,26.1
6,35759,1583,4.4,2.5,34176,1566,4.6,4102,12.0,17757,52.0,10751,31.5
