district,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_65,germans_between_18_and_65_percentage,germans_above_65,germans_above_65_percentage
1,45160,2417.0,5.4,1.9,42743.0,2745.0,6.4,4994.0,11.7,26322.0,61.6,8682.0,20.3
2,42786,2215.0,5.2,2.4,40571.0,2706.0,6.7,5015.0,12.4,24970.0,61.5,7880.0,19.4
3,43719,2710.0,6.2,3.0,41009.0,3196.0,7.8,4754.0,11.6,24999.0,61.0,8060.0,19.7
4,37365,2554.0,6.8,2.3,34811.0,1916.0,5.5,3191.0,9.2,21257.0,61.1,8447.0,24.3
5,39224,3134.0,8.0,3.7,36090.0,2325.0,6.4,3350.0,9.3,23549.0,65.3,6866.0,19.0
6,47420,8431.0,17.8,10.4,38989.0,3337.0,8.6,3906.0,10.0,29508.0,75.7,2238.0,5.7
7,41513,5349.0,12.9,7.2,36164.0,2424.0,6.7,2786.0,7.7,26130.0,72.3,4824.0,13.3
8,45548,9105.0,20.0,10.9,36443.0,3173.0,8.7,4280.0,11.7,26166.0,71.8,2824.0,7.7
9,47241,5705.0,12.1,5.5,41536.0,2983.0,7.2,4269.0,10.3,26088.0,62.8,8196.0,19.7
