district,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_65,germans_between_18_and_65_percentage,germans_above_65,germans_above_65_percentage
1,43806,4456.0,10.2,4.6,39350.0,2443.0,6.2,3127.0,7.9,24826.0,63.1,8954.0,22.8
2,47668,3644.0,7.6,3.4,44024.0,2738.0,6.2,3790.0,8.6,28024.0,63.7,9472.0,21.5
3,44127,3001.0,6.8,2.9,41126.0,2510.0,6.1,4367.0,10.6,26296.0,63.9,7953.0,19.3
4,41912,1937.0,4.6,2.2,39975.0,2282.0,5.7,3648.0,9.1,24539.0,61.4,9506.0,23.8
5,36113,1765.0,4.9,1.4,34348.0,1571.0,4.6,2968.0,8.6,19535.0,56.9,10274.0,29.9
6,39707,1219.0,3.1,1.4,38488.0,1842.0,4.8,3556.0,9.2,20940.0,54.4,12150.0,31.6
