constituency_association,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_piraten,party_npd,party_fdp,party_afd,others
1,30157,18967,62.9,18508,28.1,33.8,7.6,12.2,3.4,2.1,2.9,6.4,3.5
2,31031,20749,66.9,20270,27.1,38.1,7.1,9.7,3.0,2.1,3.2,6.9,2.8
3,31058,25183,81.1,24832,25.6,42.8,9.9,6.3,2.2,0.9,4.9,5.7,1.9
4,35059,26235,74.8,25769,26.9,38.9,9.0,7.7,2.9,1.6,4.1,6.2,2.6
5,26904,17504,65.1,17095,28.8,39.2,6.3,8.9,2.5,2.3,3.2,6.2,2.6
6,28725,24846,86.5,24582,23.1,45.6,11.1,4.5,1.8,0.5,6.9,5.2,1.3
