district,total,between_18_and_25_total,between_18_and_25_percentage,between_25_and_35_total,between_25_and_35_percentage,between_35_and_45_total,between_35_and_45_percentage,between_45_and_60_total,between_45_and_60_percentage,between_60_and_70_total,between_60_and_70_percentage,between_70_and_above_total,between_70_an_above_percentage
1,29791,2543,8.5,5356,18,3969,13.3,7683,25.8,4114,13.8,6126,20.6
2,30966,2301,7.4,3500,11.3,3393,11,8004,25.8,4993,16.1,8775,28.3
3,30899,2408,7.8,5044,16.3,4425,14.3,8665,28,4904,15.9,5453,17.6
4,32009,2517,7.9,5120,16,4282,13.4,8840,27.6,5180,16.2,6070,19
5,30362,2034,6.7,3694,12.2,3622,11.9,8013,26.4,5002,16.5,7997,26.3
6,31668,2235,7.1,4661,14.7,4133,13.1,8587,27.1,5123,16.2,6929,21.9
7,32561,2302,7.1,4054,12.5,3902,12,8941,27.5,5379,16.5,7983,24.5
