feature,year_1990,year_1995,year_1999,year_2001,year_2006,year_2011,year_2016,year_2021,year_2023
Wahlberechtigte,2524553,2479735,2414493,2417574,2425480,2469716,2485379,2447600,2431776
Wählende,2040709,1700000,1582407,1645673,1407754,1487487,1662476,1844278,1529558
Briefwählende,189252,247873,316403,290436,343649,411209,485879,863545,680471
Wahllokalwählende,1851457,1452127,1266004,1355237,1064105,1076278,1176597,980733,849087
