district,total,between_18_and_25_total,between_18_and_25_percentage,between_25_and_35_total,between_25_and_35_percentage,between_35_and_45_total,between_35_and_45_percentage,between_45_and_60_total,between_45_and_60_percentage,between_60_and_70_total,between_60_and_70_percentage,between_70_and_above_total,between_70_an_above_percentage
1,29791,2543.0,8.5,5356.0,18.0,3969.0,13.3,7683.0,25.8,4114.0,13.8,6126.0,20.6
2,30966,2301.0,7.4,3500.0,11.3,3393.0,11.0,8004.0,25.8,4993.0,16.1,8775.0,28.3
3,30899,2408.0,7.8,5044.0,16.3,4425.0,14.3,8665.0,28.0,4904.0,15.9,5453.0,17.6
4,32009,2517.0,7.9,5120.0,16.0,4282.0,13.4,8840.0,27.6,5180.0,16.2,6070.0,19.0
5,30362,2034.0,6.7,3694.0,12.2,3622.0,11.9,8013.0,26.4,5002.0,16.5,7997.0,26.3
6,31668,2235.0,7.1,4661.0,14.7,4133.0,13.1,8587.0,27.1,5123.0,16.2,6929.0,21.9
7,32561,2302.0,7.1,4054.0,12.5,3902.0,12.0,8941.0,27.5,5379.0,16.5,7983.0,24.5
