district,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_65,germans_between_18_and_65_percentage,germans_above_65,germans_above_65_percentage
,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,,,,,,,,,,
,Mitte,,,,,,,,,,,,
1,46317,11923,25.7,13.1,34394,2815,8.2,3471,10.1,24811,72.1,3297,9.6
2,48693,11909,24.5,9.9,36784,2027,5.5,2611,7.1,22495,61.2,9651,26.2
3,50980,14949,29.3,11.8,36031,2227,6.2,3520,9.8,23587,65.5,6697,18.6
4,52717,16786,31.8,12.9,35931,2443,6.8,3488,9.7,26035,72.5,3965,11
