constituency_association,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_piraten,party_npd,party_fdp,party_afd,others
1,32868,25897.0,78.8,25567.0,27.3,31.7,16.7,8.9,3.0,0.6,5.2,4.8,1.7
2,31871,24262.0,76.1,23874.0,28.0,32.5,14.1,9.3,3.2,0.7,4.7,5.4,2.2
3,32666,27063.0,82.8,26832.0,25.1,39.0,14.0,6.0,2.1,0.4,6.9,5.1,1.4
4,30400,23895.0,78.6,23565.0,25.5,40.2,11.2,7.0,2.4,0.7,5.6,5.6,1.8
5,31192,23006.0,73.8,22653.0,26.2,39.1,10.3,7.7,2.8,1.0,4.8,5.9,2.2
6,30778,25757.0,83.7,25493.0,24.4,37.4,14.5,6.4,2.1,0.4,8.2,5.2,1.4
7,30232,25659.0,84.9,25453.0,22.8,40.6,13.5,5.2,2.0,0.3,8.9,5.5,1.3
