constituency_association,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_piraten,party_npd,party_fdp,others
1,32157,22013,68.5,21724,26.9,28.6,25.2,3.5,7.8,1,2.4,4.6
2,31479,20374,64.7,19998,28.4,29.6,21.7,3.8,7.9,1.2,2.5,5
3,31872,23470,73.6,23146,24.4,38.2,21.8,2.6,5.6,0.9,3.1,3.4
4,30151,20630,68.4,20255,25.6,38.8,17.6,3,6.2,1.2,2.8,4.8
5,30841,19620,63.6,19257,26.1,38.1,15.6,3.4,7.1,1.9,2.4,5.3
6,30605,22976,75.1,22652,22.9,38.3,22.8,2.7,5.4,0.6,3.7,3.6
7,30086,22935,76.2,22654,21.9,41,21.8,2.2,5.3,0.8,4,3.1
