district,total,female_total,female_percentage,eu_foreigners_total,eu_foreigners_percentage,between_16_and_18_total,between_16_and_18_percentage
1,36782,19506.0,53.0,2105.0,5.7,744.0,2.0
2,35066,18099.0,51.6,3309.0,9.4,680.0,1.9
3,36979,19193.0,51.9,3247.0,8.8,758.0,2.0
4,35721,18656.0,52.2,1905.0,5.3,914.0,2.6
5,35164,18414.0,52.4,1483.0,4.2,883.0,2.5
