constituency_association,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_piraten,party_npd,party_fdp,others
1,32675,12819.0,39.2,12562.0,27.3,10.2,4.6,31.2,10.3,6.3,0.8,9.2
2,35311,17813.0,50.4,17517.0,30.7,11.8,4.5,32.7,7.9,4.1,1.0,7.3
3,34868,13786.0,39.5,13514.0,29.1,10.4,4.9,30.0,10.4,5.8,0.9,8.5
4,34062,20745.0,60.9,20401.0,27.9,19.9,6.1,27.5,7.7,3.1,1.4,6.4
5,32763,22636.0,69.1,22329.0,25.7,30.5,7.0,18.9,8.0,2.3,2.1,5.5
6,33189,15703.0,47.3,15400.0,28.9,14.1,5.8,28.0,9.5,4.2,1.1,8.3
