feature,1990,1995,1999,2001,2006,2011,2016,2021,2023
Wahlberechtigte,100,96.6,92.7,91.9,90.3,91.7,92.5,90.8,90.1
Wählende,100,82.5,74.8,77.5,65.9,67.9,74.1,81.5,67.6
Briefwählende,100,114.1,135.9,125.1,140.5,161.9,186.8,314.9,250.9
Wahllokalwählende,100,78.1,66.3,70.8,55.5,54.8,58.4,49,42.1
