constituency_association,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_piraten,party_npd,party_fdp,others
1,33582,22413,66.7,22098,22.3,8.4,41.7,6.8,12.9,0.5,1,6.4
2,33905,21365,63,20992,21,6.6,34.7,10.9,16.2,0.9,0.9,8.9
3,32117,17905,55.7,17603,23.7,10.6,32.3,8.3,12.2,1.1,1,10.7
4,35949,22289,62,22012,29,9.8,15.6,24.8,12.3,1.4,1,5.9
5,35696,22546,63.2,22216,23.4,6.9,27.6,12.9,19.2,0.9,1.1,8
