constituency_association,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_piraten,party_npd,party_fdp,others
1,29935,16734.0,55.9,16381.0,33.8,25.0,17.8,4.7,8.6,1.5,1.9,6.8
2,30795,21348.0,69.3,21014.0,29.3,35.2,18.7,2.7,5.8,0.8,3.4,4.2
3,30451,20243.0,66.5,19965.0,31.5,21.3,27.6,4.4,7.8,0.5,2.6,4.3
4,31501,19668.0,62.4,19362.0,33.6,23.4,23.6,3.8,7.7,0.6,3.2,4.0
5,30458,19972.0,65.6,19671.0,28.1,36.6,17.9,2.8,6.0,0.8,4.3,3.8
6,31577,20839.0,66.0,20502.0,31.5,25.5,24.8,3.7,6.9,0.7,2.7,4.0
7,32045,22316.0,69.6,21954.0,31.3,29.5,21.0,3.4,6.6,0.8,2.9,4.5
