district,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_65,germans_between_18_and_65_percentage,germans_above_65,germans_above_65_percentage
1,40628,4144,10.2,2.8,36484,2292,6.3,3835,10.5,24451,67,5906,16.2
2,42729,4091,9.6,2.1,38638,2248,5.8,3598,9.3,24536,63.5,8256,21.4
3,49651,8359,16.8,6.3,41292,2238,5.4,3185,7.7,24120,58.4,11749,28.5
4,48150,7355,15.3,4.8,40795,2401,5.9,2976,7.3,25819,63.3,9599,23.5
5,45296,4860,10.7,4.4,40436,2563,6.3,3150,7.8,27299,67.5,7424,18.4
6,48688,4874,10,2.7,43814,2974,6.8,4248,9.7,25468,58.1,11124,25.4
