district,total,between_18_and_25_total,between_18_and_25_percentage,between_25_and_35_total,between_25_and_35_percentage,between_35_and_45_total,between_35_and_45_percentage,between_45_and_60_total,between_45_and_60_percentage,between_60_and_70_total,between_60_and_70_percentage,between_70_and_above_total,between_70_an_above_percentage
1,28108,1592,5.7,6919,24.6,7317,26,7704,27.4,2194,7.8,2382,8.5
2,32146,1860,5.8,5820,18.1,4753,14.8,7936,24.7,3849,12,7928,24.7
3,30284,2779,9.2,6055,20,4452,14.7,8043,26.6,4128,13.6,4827,15.9
4,30000,3895,13,8962,29.9,4556,15.2,6921,23.1,2978,9.9,2688,9
5,29530,3066,10.4,6626,22.4,3477,11.8,6937,23.5,3453,11.7,5971,20.2
6,27774,4264,15.4,8280,29.8,3978,14.3,5798,20.9,2481,8.9,2973,10.7
7,27637,3576,12.9,7596,27.5,4375,15.8,6116,22.1,2710,9.8,3264,11.8
