constituency_association,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_piraten,party_npd,party_fdp,party_afd,others
1,29394,20482,69.7,20136,24,13.2,26.2,22.2,5.9,0.7,1.6,2.3,3.9
2,29288,19363,66.1,18990,24.8,12,24.7,22.6,6.7,0.8,1.5,2.6,4.3
3,30000,18117,60.4,17740,25.2,16.8,19,21.3,6.3,1.4,2,3.3,4.8
4,30432,20726,68.1,20255,27.8,34.6,9.3,11,3,2.7,3.5,5,3.2
5,28138,20720,73.6,20309,26.8,41.4,6.8,7.8,2.5,2.1,4.3,5.5,2.7
6,30389,19859,65.3,19376,29.4,38.3,5.9,9.6,2.6,3,3.2,5.2,2.7
7,27994,21558,77,21151,25.6,43.9,6.6,6.9,2.2,2.5,4.6,5.4,2.3
