district,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_65,germans_between_18_and_65_percentage,germans_above_65,germans_above_65_percentage
1,56574,14182,25.1,11.1,42392,3256,7.7,4698,11.1,30236,71.3,4202,9.9
2,56439,14139,25.1,11.1,42300,3382,8,4423,10.5,31610,74.7,2885,6.8
3,64483,21731,33.7,9.2,42752,3617,8.5,6686,15.6,27783,65,4666,10.9
4,49310,8317,16.9,7.1,40993,2517,6.1,2973,7.3,26826,65.4,8677,21.2
5,51587,9997,19.4,11.4,41590,3081,7.4,3049,7.3,33380,80.3,2080,5
