district,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_65,germans_between_18_and_65_percentage,germans_above_65,germans_above_65_percentage
1,50550,15691.0,31.0,14.2,34859.0,2782.0,8.0,3205.0,9.2,24932.0,71.5,3940.0,11.3
2,55540,19808.0,35.7,15.1,35732.0,2798.0,7.8,3908.0,10.9,25627.0,71.7,3399.0,9.5
3,59754,20884.0,34.9,12.6,38870.0,3445.0,8.9,5319.0,13.7,25404.0,65.4,4702.0,12.1
4,44753,8062.0,18.0,6.1,36691.0,2278.0,6.2,3949.0,10.8,21630.0,59.0,8834.0,24.1
5,37247,4293.0,11.5,4.1,32954.0,1731.0,5.3,3427.0,10.4,18502.0,56.1,9294.0,28.2
6,43538,7611.0,17.5,4.4,35927.0,2210.0,6.2,3891.0,10.8,18399.0,51.2,11427.0,31.8
7,36680,3026.0,8.2,3.3,33654.0,1651.0,4.9,3785.0,11.2,19299.0,57.3,8919.0,26.5
