feature,1990,1995,1999,2001,2006,2011,2016,2021,2023
Gültige Zweitstimmen,x,-18.2,-8.7,3.4,-15.6,3.5,9.4,10.4,-8
SPD,x,-29.3,-9.9,38.5,-21.3,-7.9,-9.2,9.1,-21.2
CDU,x,-24.3,-0.8,-35.4,-24.2,10.5,-22.8,9.8,37.3
GRÜNE ¹,x,50,-26.4,-4.8,12.3,42.2,-8.3,31.2,6.9
DIE LINKE ²,x,58.7,82.4,68.5,-49,7.2,155.3,10.7,-18.3
AfD,x,x,x,x,x,x,x,-42.8,-48.2
FDP,x,-65.1,-22.8,365.6,-38.6,-74.9,316.1,1.5,-43.1
PIRATEN,x,x,x,x,x,x,-78,-74.9,-81.7
Sonstige,x,62.1,-32.7,-24.9,131,-38.4,-5.8,94,10.6
