id,district_id,district_name,electoral_district_id,electoral_district_type,electoral_district_berlin_election_id,electoral_district_federal_election_id,eligible_voters,voters,invalid_votes,valid_votes,party_spd,party_spd_percentage,party_cdu,party_cdu_percentage,party_grüne,party_grüne_percentage,party_die_linke,party_die_linke_percentage,party_piraten,party_piraten_percentage,party_npd,party_npd_percentage,party_fdp,party_fdp_percentage,party_afd,party_afd_percentage,others,others_percentage
ID,"Bezirks-
nummer",Bezirksname,Wahlbezirk,Wahl-bezirksart,"Abgeordneten-
hauswahlkreis","Bundestags-
wahlkreis",Wahlberechtigte insgesamt,Wähler,Ungültige Stimmen,Gültige Stimmen,SPD,SPD in Prozent,CDU,CDU in Prozent,GRÜNE,GRÜNE in Prozent,DIE LINKE,DIE LINKE in Prozent,PIRATEN,PIRATEN in Prozent,NPD,NPD in Prozent,FDP,FDP in Prozent,AfD,AfD in Prozent,Sonstige,Sonstige in Prozent
01100,01,Mitte,100,W,1,75,1295,633,16,617,147,23.824959481361425,177,28.687196110210696,99,16.045380875202593,109,17.666126418152352,26,4.213938411669368,5,0.8103727714748784,10,1.6207455429497568,26,4.213938411669368,18,2.9173419773095626
01101,01,Mitte,101,W,1,75,1264,634,9,625,164,26.240000000000002,160,25.6,94,15.040000000000001,114,18.240000000000002,19,3.04,4,0.64,36,5.76,25,4,9,1.44
01102,01,Mitte,102,W,1,75,1146,520,2,518,142,27.413127413127413,138,26.640926640926644,62,11.96911196911197,93,17.953667953667953,18,3.474903474903475,8,1.5444015444015444,35,6.756756756756757,18,3.474903474903475,4,0.7722007722007722
01103,01,Mitte,103,W,1,75,979,476,5,471,104,22.080679405520172,98,20.8067940552017,93,19.745222929936308,85,18.046709129511676,26,5.520169851380043,1,0.21231422505307856,33,7.006369426751593,18,3.821656050955414,13,2.7600849256900215
01104,01,Mitte,104,W,1,75,1249,601,3,598,134,22.40802675585284,163,27.257525083612038,125,20.903010033444815,79,13.210702341137123,16,2.6755852842809364,3,0.5016722408026756,47,7.859531772575251,23,3.8461538461538463,8,1.3377926421404682
01105,01,Mitte,105,W,1,75,1116,587,11,576,141,24.479166666666664,101,17.53472222222222,116,20.13888888888889,118,20.48611111111111,30,5.208333333333334,4,0.6944444444444444,29,5.034722222222222,29,5.034722222222222,8,1.3888888888888888
01106,01,Mitte,106,W,1,75,1333,649,4,645,148,22.945736434108525,205,31.782945736434108,95,14.728682170542637,87,13.488372093023257,20,3.10077519379845,3,0.46511627906976744,45,6.976744186046512,34,5.271317829457364,8,1.2403100775193798
01107,01,Mitte,107,W,1,75,1152,647,7,640,131,20.46875,120,18.75,147,22.96875,137,21.40625,29,4.53125,3,0.46875,51,7.968749999999999,15,2.34375,7,1.09375
01108,01,Mitte,108,W,1,75,976,483,4,479,89,18.580375782881003,164,34.23799582463465,63,13.152400835073069,89,18.580375782881003,13,2.7139874739039667,2,0.41753653444676403,32,6.6805845511482245,24,5.010438413361169,3,0.6263048016701461
01109,01,Mitte,109,W,1,75,1154,461,13,448,133,29.6875,145,32.36607142857143,30,6.696428571428571,63,14.0625,17,3.7946428571428568,6,1.3392857142857142,14,3.125,21,4.6875,19,4.241071428571429
01110,01,Mitte,110,W,1,75,1629,966,9,957,228,23.824451410658305,193,20.167189132706373,248,25.914315569487982,159,16.614420062695924,31,3.239289446185998,4,0.41797283176593525,54,5.6426332288401255,24,2.507836990595611,16,1.671891327063741
01111,01,Mitte,111,W,1,75,1066,580,6,574,143,24.912891986062718,142,24.738675958188153,131,22.822299651567945,71,12.369337979094077,22,3.8327526132404177,1,0.17421602787456447,29,5.052264808362369,19,3.3101045296167246,16,2.7874564459930316
01112,01,Mitte,112,W,1,75,1265,676,6,670,145,21.641791044776117,132,19.701492537313435,148,22.08955223880597,141,21.044776119402986,26,3.880597014925373,7,1.0447761194029852,38,5.6716417910447765,25,3.731343283582089,8,1.1940298507462688
01113,01,Mitte,113,W,1,75,1214,696,7,689,173,25.1088534107402,132,19.15820029027576,185,26.850507982583455,100,14.513788098693759,41,5.950653120464441,1,0.14513788098693758,22,3.1930333817126266,25,3.6284470246734397,10,1.4513788098693758
01114,01,Mitte,114,W,1,75,1486,816,2,814,181,22.235872235872236,153,18.796068796068795,183,22.48157248157248,154,18.91891891891892,44,5.405405405405405,2,0.2457002457002457,48,5.896805896805897,29,3.562653562653563,20,2.457002457002457
01115,01,Mitte,115,W,1,75,897,468,1,467,99,21.199143468950748,116,24.839400428265524,66,14.132762312633835,117,25.053533190578158,20,4.282655246252676,7,1.4989293361884368,16,3.4261241970021414,16,3.4261241970021414,10,2.141327623126338
01116,01,Mitte,116,W,1,75,736,400,5,395,88,22.278481012658226,100,25.31645569620253,76,19.240506329113924,61,15.443037974683543,23,5.822784810126582,3,0.7594936708860759,24,6.075949367088607,15,3.79746835443038,5,1.2658227848101267
01117,01,Mitte,117,W,1,75,1551,893,3,890,203,22.808988764044944,219,24.60674157303371,201,22.58426966292135,140,15.730337078651685,41,4.606741573033708,9,1.0112359550561798,31,3.48314606741573,28,3.146067415730337,18,2.0224719101123596
01118,01,Mitte,118,W,1,75,1070,615,8,607,152,25.04118616144975,112,18.451400329489292,138,22.73476112026359,127,20.922570016474467,28,4.612850082372323,2,0.3294892915980231,23,3.789126853377265,23,3.789126853377265,2,0.3294892915980231
01119,01,Mitte,119,W,1,75,940,517,3,514,143,27.82101167315175,97,18.8715953307393,119,23.151750972762645,95,18.482490272373543,20,3.8910505836575875,2,0.38910505836575876,16,3.11284046692607,12,2.3346303501945527,10,1.9455252918287937
