constituency_association,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_piraten,party_npd,party_fdp,party_afd,others
1,34016,24171,71.1,23845,20.3,30,5.7,27.4,2.7,2.5,2.5,6.4,2.4
2,32775,24581,75,24269,22.5,30.6,8.9,22.3,2.6,1.8,2.8,6.1,2.3
3,32546,24575,75.5,24273,22.6,22.2,14.2,27.2,3.4,1.4,2.1,4.6,2.3
4,29632,20650,69.7,20309,20.8,28.5,7.2,27.7,2.9,2.2,1.9,5.9,2.7
5,30444,22476,73.8,22154,21.7,21.6,11.6,29,4.3,1.7,1.7,5.3,3
6,32525,25528,78.5,25272,23.1,15,26.8,20.9,5.7,0.5,3,2.8,2.2
7,31271,22596,72.3,22265,22.3,19.9,15.7,26,5.5,1.3,2.3,4.1,3
8,29446,23380,79.4,23153,23.1,17.9,23.5,21.6,5,0.4,4,2.5,2
9,34604,25785,74.5,25462,23.2,20.4,14.3,27.9,4.2,1.2,2.5,3.8,2.5
