district,total,between_18_and_25_total,between_18_and_25_percentage,between_25_and_35_total,between_25_and_35_percentage,between_35_and_45_total,between_35_and_45_percentage,between_45_and_60_total,between_45_and_60_percentage,between_60_and_70_total,between_60_and_70_percentage,between_70_and_above_total,between_70_an_above_percentage
1,32543,2517,7.7,5280,16.2,4461,13.7,8863,27.2,4933,15.2,6489,19.9
2,31760,2553,8,5417,17.1,4177,13.2,8471,26.7,4527,14.3,6615,20.8
3,32899,2318,7,3021,9.2,4100,12.5,9679,29.4,5182,15.8,8599,26.1
4,29890,2163,7.2,3118,10.4,3486,11.7,8198,27.4,4975,16.6,7950,26.6
5,30795,2167,7,3989,13,3693,12,8003,26,4649,15.1,8294,26.9
6,30834,2372,7.7,2663,8.6,3699,12,9025,29.3,4722,15.3,8353,27.1
7,30153,2049,6.8,2156,7.2,3401,11.3,8597,28.5,5132,17,8818,29.2
