district,total,between_18_and_25_total,between_18_and_25_percentage,between_25_and_35_total,between_25_and_35_percentage,between_35_and_45_total,between_35_and_45_percentage,between_45_and_60_total,between_45_and_60_percentage,between_60_and_70_total,between_60_and_70_percentage,between_70_and_above_total,between_70_an_above_percentage
1,30357,2025,6.7,6071,20,3605,11.9,9887,32.6,4513,14.9,4256,14
2,32792,1939,5.9,5562,17,4315,13.2,9495,29,5487,16.7,5994,18.3
3,35869,2471,6.9,6884,19.2,4388,12.2,7764,21.6,5269,14.7,9093,25.4
4,35418,2386,6.7,8874,25.1,5186,14.6,7340,20.7,3946,11.1,7686,21.7
5,34723,2223,6.4,9993,28.8,5654,16.3,7153,20.6,4048,11.7,5652,16.3
6,36592,2029,5.5,6537,17.9,5725,15.6,8843,24.2,4338,11.9,9120,24.9
