district,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_65,germans_between_18_and_65_percentage,germans_above_65,germans_above_65_percentage
1,40628,4144.0,10.2,2.8,36484.0,2292.0,6.3,3835.0,10.5,24451.0,67.0,5906.0,16.2
2,42729,4091.0,9.6,2.1,38638.0,2248.0,5.8,3598.0,9.3,24536.0,63.5,8256.0,21.4
3,49651,8359.0,16.8,6.3,41292.0,2238.0,5.4,3185.0,7.7,24120.0,58.4,11749.0,28.5
4,48150,7355.0,15.3,4.8,40795.0,2401.0,5.9,2976.0,7.3,25819.0,63.3,9599.0,23.5
5,45296,4860.0,10.7,4.4,40436.0,2563.0,6.3,3150.0,7.8,27299.0,67.5,7424.0,18.4
6,48688,4874.0,10.0,2.7,43814.0,2974.0,6.8,4248.0,9.7,25468.0,58.1,11124.0,25.4
