feature,1990,1995,1999,2001,2006,2011,2016,2021,2023
Gültige Zweitstimmen,100,100,100,100,100,100,100.0,100.0,100.0
SPD,29.5,25.5,25.2,33.7,31.4,27.9,23.2,22.9,19.9
CDU,49,45.4,49.3,30.8,27.7,29.5,20.9,20.7,31.1
GRÜNE ¹,8.2,15,12.1,11.1,14.8,20.3,17.1,20.3,19.8
DIE LINKE ²,1.1,2.1,4.2,6.9,4.2,4.3,10.1,10.1,9.0
AfD,x,x,x,x,x,x,12.1,6.3,6.8
FDP,7.9,3.4,2.8,12.8,9.3,2.3,8.6,7.9,5.3
PIRATEN,x,x,x,x,x,8.1,1.6,0.4,0.3
Sonstige,4.3,8.6,6.3,4.6,12.6,7.5,6.5,11.4,7.8
