constituency_association,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_piraten,party_npd,party_fdp,party_afd,others
1,30429,21029,69.1,20658,28.1,30.5,13.1,11.8,3.7,1,3.9,5,2.9
2,31295,24756,79.1,24460,26,37.6,12.5,7.2,2.1,0.5,7.5,5.1,1.5
3,31066,24156,77.8,23918,28.4,25.6,20.1,11.3,2.8,0.4,5.3,4,2
4,32187,24264,75.4,24009,28.2,29.6,16.7,9,2.8,0.4,7.2,4.7,1.4
5,30651,23636,77.1,23401,24,38.8,11.3,7.1,2.2,0.4,9.8,5.2,1.3
6,31899,24698,77.4,24400,27.9,30.5,16.9,9.1,2.8,0.4,6.3,4.5,1.6
7,32649,26058,79.8,25701,27.8,33.5,14.7,9,2.4,0.4,5.4,5.1,1.6
