district,total,female_total,female_percentage,eu_foreigners_total,eu_foreigners_percentage,between_16_and_18_total,between_16_and_18_percentage
1,36065,18767,52,1854,5.1,440,1.2
2,39439,20074,50.9,1412,3.6,544,1.4
3,36008,18258,50.7,1090,3,685,1.9
4,35453,18280,51.6,823,2.3,591,1.7
5,30703,15992,52.1,446,1.5,451,1.5
6,34123,18250,53.5,486,1.4,550,1.6
