constituency_association,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_piraten,party_npd,party_fdp,others
1,28499,16400,57.5,16090,22.4,10.9,33,8.6,14.4,1.4,0.9,8.3
2,27744,14732,53.1,14455,22.8,9.6,29.4,9.8,15.7,1.5,1,10.2
3,28214,13243,46.9,12939,27.2,14.7,21.8,8.5,13.5,2.4,1.3,10.5
4,30153,17262,57.2,16840,30,31.7,13.1,4.5,7.6,4.1,2,7
5,27729,17693,63.8,17329,28.6,38.2,11.5,3.2,6.4,3.4,2.5,6.3
6,30372,16497,54.3,16018,32.7,34.1,9,3.8,5.8,4.8,1.9,7.9
7,27867,18835,67.6,18413,27.7,40.2,10.9,2.7,5.9,3.8,2.6,6.1
