district,total,female_total,female_percentage,eu_foreigners_total,eu_foreigners_percentage,between_16_and_18_total,between_16_and_18_percentage
1,34385,17304,50.3,880,2.6,667,1.9
2,36344,18522,51,1002,2.8,529,1.5
3,36248,18717,51.6,1381,3.8,628,1.7
4,35391,18212,51.5,724,2,532,1.5
5,33887,17098,50.5,415,1.2,654,1.9
6,34594,17966,51.9,950,2.7,596,1.7
