constituency_association,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_piraten,party_npd,party_fdp,others
1,30085,14933,49,14571,30.9,32.3,11.0,5.1,8.1,3.2,1.6,7.9
2,30725,16946,55,16574,30.3,35.9,10.6,4.0,7.7,2.8,1.9,6.7
3,30729,21892,71,21491,26.8,39.5,15.6,2.8,6.7,1.3,2.4,4.9
4,34667,22254,64,21820,28.9,37.2,14.2,3.1,7.0,1.8,2.2,5.6
5,26796,14267,53,13927,31.8,36.8,9.8,3.7,6.7,2.9,1.9,6.3
6,28560,22522,78,22225,22.7,45.2,17.6,2.1,4.7,0.7,3.5,3.5
