district,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_65,germans_between_18_and_65_percentage,germans_above_65,germans_above_65_percentage
1,45160,2417,5.4,1.9,42743,2745,6.4,4994,11.7,26322,61.6,8682,20.3
2,42786,2215,5.2,2.4,40571,2706,6.7,5015,12.4,24970,61.5,7880,19.4
3,43719,2710,6.2,3,41009,3196,7.8,4754,11.6,24999,61,8060,19.7
4,37365,2554,6.8,2.3,34811,1916,5.5,3191,9.2,21257,61.1,8447,24.3
5,39224,3134,8,3.7,36090,2325,6.4,3350,9.3,23549,65.3,6866,19
6,47420,8431,17.8,10.4,38989,3337,8.6,3906,10,29508,75.7,2238,5.7
7,41513,5349,12.9,7.2,36164,2424,6.7,2786,7.7,26130,72.3,4824,13.3
8,45548,9105,20,10.9,36443,3173,8.7,4280,11.7,26166,71.8,2824,7.7
9,47241,5705,12.1,5.5,41536,2983,7.2,4269,10.3,26088,62.8,8196,19.7
