district,total,between_18_and_25_total,between_18_and_25_percentage,between_25_and_35_total,between_25_and_35_percentage,between_35_and_45_total,between_35_and_45_percentage,between_45_and_60_total,between_45_and_60_percentage,between_60_and_70_total,between_60_and_70_percentage,between_70_and_above_total,between_70_an_above_percentage
1,33966,2742.0,8.1,5029.0,14.8,3845.0,11.3,8873.0,26.1,4796.0,14.1,8681.0,25.6
2,31134,2867.0,9.2,5762.0,18.5,3909.0,12.6,8290.0,26.6,4163.0,13.4,6143.0,19.7
3,33037,3035.0,9.2,5555.0,16.8,4337.0,13.1,9050.0,27.4,4397.0,13.3,6663.0,20.2
4,32936,3252.0,9.9,4030.0,12.2,3857.0,11.7,9532.0,28.9,4961.0,15.1,7304.0,22.2
5,32816,2373.0,7.2,3151.0,9.6,3660.0,11.2,9166.0,27.9,5654.0,17.2,8812.0,26.9
