district,total,female_total,female_percentage,eu_foreigners_total,eu_foreigners_percentage,between_16_and_18_total,between_16_and_18_percentage
1,41093,20351,49.5,5948,14.5,726,1.8
2,41141,20037,48.7,6067,14.7,591,1.4
3,39052,19031,48.7,5607,14.4,1043,2.7
4,39134,19848,50.7,3250,8.3,408,1
5,41434,19733,47.6,5637,13.6,343,0.8
