district,total,female_total,female_percentage,eu_foreigners_total,eu_foreigners_percentage,between_16_and_18_total,between_16_and_18_percentage
1,39971,19382,48.5,5597,14,659,1.6
2,37300,18833,50.5,4253,11.4,585,1.6
3,37553,20050,53.4,2780,7.4,728,1.9
4,37156,19807,53.3,3202,8.6,662,1.8
5,37704,19898,52.8,2849,7.6,599,1.6
6,36125,19122,52.9,1925,5.3,781,2.2
7,35591,18806,52.8,1358,3.8,807,2.3
