feature,1990,1995,1999,2001,2006,2011,2016,2021,2023
Wahlberechtigte,x,0.8,-0.4,1.7,3.3,2.2,0.4,-1.1,-1.6
Wählende,x,-15.2,-2.8,4.7,-13.6,9.8,15.6,12.3,-6.9
Briefwählende,x,123.8,51.7,-8.9,31.7,28.2,22.9,92.4,49.2
Wahllokalwählende,x,-21,-9.2,7.4,-21.2,4.6,13.1,-17.3,-27.6
