district,total,between_18_and_25_total,between_18_and_25_percentage,between_25_and_35_total,between_25_and_35_percentage,between_35_and_45_total,between_35_and_45_percentage,between_45_and_60_total,between_45_and_60_percentage,between_60_and_70_total,between_60_and_70_percentage,between_70_and_above_total,between_70_an_above_percentage
1,28108,1592.0,5.7,6919.0,24.6,7317.0,26.0,7704.0,27.4,2194.0,7.8,2382.0,8.5
2,32146,1860.0,5.8,5820.0,18.1,4753.0,14.8,7936.0,24.7,3849.0,12.0,7928.0,24.7
3,30284,2779.0,9.2,6055.0,20.0,4452.0,14.7,8043.0,26.6,4128.0,13.6,4827.0,15.9
4,30000,3895.0,13.0,8962.0,29.9,4556.0,15.2,6921.0,23.1,2978.0,9.9,2688.0,9.0
5,29530,3066.0,10.4,6626.0,22.4,3477.0,11.8,6937.0,23.5,3453.0,11.7,5971.0,20.2
6,27774,4264.0,15.4,8280.0,29.8,3978.0,14.3,5798.0,20.9,2481.0,8.9,2973.0,10.7
7,27637,3576.0,12.9,7596.0,27.5,4375.0,15.8,6116.0,22.1,2710.0,9.8,3264.0,11.8
