district,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_65,germans_between_18_and_65_percentage,germans_above_65,germans_above_65_percentage
1,46599,11644,25,10.2,34955,2011,5.8,3153,9,21769,62.3,8022,22.9
2,45230,9240,20.4,8.7,35990,1580,4.4,3444,9.6,19553,54.3,11413,31.7
3,48077,11507,23.9,10.2,36570,2152,5.9,3519,9.6,23142,63.3,7757,21.2
4,51951,14774,28.4,12.1,37177,1973,5.3,3195,8.6,23235,62.5,8774,23.6
5,44733,9472,21.2,9,35261,1736,4.9,3163,9,19866,56.3,10496,29.8
6,47908,11293,23.6,10.3,36615,1790,4.9,3157,8.6,22192,60.6,9476,25.9
7,45970,7940,17.3,6.9,38030,1810,4.8,3659,9.6,21914,57.6,10647,28
