district,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_65,germans_between_18_and_65_percentage,germans_above_65,germans_above_65_percentage
1,43806,4456,10.2,4.6,39350,2443,6.2,3127,7.9,24826,63.1,8954,22.8
2,47668,3644,7.6,3.4,44024,2738,6.2,3790,8.6,28024,63.7,9472,21.5
3,44127,3001,6.8,2.9,41126,2510,6.1,4367,10.6,26296,63.9,7953,19.3
4,41912,1937,4.6,2.2,39975,2282,5.7,3648,9.1,24539,61.4,9506,23.8
5,36113,1765,4.9,1.4,34348,1571,4.6,2968,8.6,19535,56.9,10274,29.9
6,39707,1219,3.1,1.4,38488,1842,4.8,3556,9.2,20940,54.4,12150,31.6
