constituency_association,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_piraten,party_npd,party_fdp,party_afd,others
1,27998,21828.0,78.0,21616.0,22.7,24.6,21.2,16.0,4.0,0.5,5.9,3.3,1.6
2,32010,23785.0,74.3,23523.0,21.2,22.7,10.9,31.3,3.1,0.7,4.1,4.1,1.8
3,30315,22402.0,73.9,22140.0,27.7,25.3,19.0,12.8,3.9,0.4,4.6,4.2,2.0
4,29771,20352.0,68.4,20044.0,27.5,19.0,20.1,16.4,6.6,0.8,2.8,3.7,3.0
5,29137,19417.0,66.6,19003.0,28.5,26.5,12.7,15.4,4.6,1.6,2.8,4.7,3.2
6,27456,16405.0,59.8,16057.0,28.0,17.8,17.2,19.5,6.5,1.4,2.2,3.5,3.9
7,27398,17385.0,63.5,17017.0,29.0,20.9,16.3,17.9,5.2,1.0,2.5,3.7,3.4
