district,total,between_18_and_25_total,between_18_and_25_percentage,between_25_and_35_total,between_25_and_35_percentage,between_35_and_45_total,between_35_and_45_percentage,between_45_and_60_total,between_45_and_60_percentage,between_60_and_70_total,between_60_and_70_percentage,between_70_and_above_total,between_70_an_above_percentage
1,35004,2137,6.1,5555,15.9,5290,15.1,10662,30.5,4632,13.2,6728,19.2
2,32850,1898,5.8,4718,14.4,5497,16.7,10518,32,4183,12.7,6036,18.4
3,33059,1829,5.5,5726,17.3,6515,19.7,9081,27.5,3219,9.7,6689,20.2
4,29704,1561,5.3,4854,16.3,4400,14.8,8409,28.3,3636,12.2,6844,23
5,30415,1611,5.3,6206,20.4,5758,18.9,8070,26.5,3303,10.9,5467,18
6,31746,1902,6,8687,27.4,9732,30.7,8153,25.7,1698,5.3,1574,5
7,30954,1963,6.3,8801,28.4,6852,22.1,7170,23.2,2370,7.7,3798,12.3
8,28990,1677,5.8,6674,23,8054,27.8,8601,29.7,1968,6.8,2016,7
9,34284,1805,5.3,6994,20.4,7093,20.7,8523,24.9,3172,9.3,6697,19.5
