district,total,between_18_and_25_total,between_18_and_25_percentage,between_25_and_35_total,between_25_and_35_percentage,between_35_and_45_total,between_35_and_45_percentage,between_45_and_60_total,between_45_and_60_percentage,between_60_and_70_total,between_60_and_70_percentage,between_70_and_above_total,between_70_an_above_percentage
1,28872,2135,7.4,8543,29.6,6199,21.5,6664,23.1,2480,8.6,2851,9.9
2,29026,2645,9.1,10033,34.6,5195,17.9,6228,21.5,2621,9,2304,7.9
3,30106,3622,12,9305,30.9,4530,15,6363,21.1,2805,9.3,3481,11.6
4,30464,2639,8.7,4686,15.4,3607,11.8,8330,27.3,4512,14.8,6690,22
5,27796,2430,8.7,3125,11.2,3055,11,7711,27.7,4487,16.1,6988,25.1
6,29826,2430,8.1,3789,12.7,2997,10,6903,23.1,4715,15.8,8992,30.1
7,28218,2448,8.7,3030,10.7,3306,11.7,8199,29.1,4564,16.2,6671,23.6
