district,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_65,germans_between_18_and_65_percentage,germans_above_65,germans_above_65_percentage
1,56796,16451,29,10.4,40345,2366,5.9,4225,10.5,26535,65.8,7219,17.9
2,49997,11139,22.3,9.1,38858,2621,6.7,3739,9.6,26701,68.7,5797,14.9
3,47802,6801,14.2,6.3,41001,2418,5.9,4532,11.1,25693,62.7,8358,20.4
4,49282,9433,19.1,7.1,39849,2465,6.2,4052,10.2,24891,62.5,8441,21.2
5,48223,8179,17,6.6,40044,2262,5.6,3485,8.7,23635,59,10662,26.6
6,45415,5613,12.4,4.6,39802,2101,5.3,4243,10.7,21406,53.8,12052,30.3
7,43646,3873,8.9,3.4,39773,1936,4.9,4393,11,22025,55.4,11419,28.7
