constituency_association,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_piraten,party_npd,party_fdp,others
1,29935,16734,55.9,16381,33.8,25,17.8,4.7,8.6,1.5,1.9,6.8
2,30795,21348,69.3,21014,29.3,35.2,18.7,2.7,5.8,0.8,3.4,4.2
3,30451,20243,66.5,19965,31.5,21.3,27.6,4.4,7.8,0.5,2.6,4.3
4,31501,19668,62.4,19362,33.6,23.4,23.6,3.8,7.7,0.6,3.2,4
5,30458,19972,65.6,19671,28.1,36.6,17.9,2.8,6,0.8,4.3,3.8
6,31577,20839,66,20502,31.5,25.5,24.8,3.7,6.9,0.7,2.7,4
7,32045,22316,69.6,21954,31.3,29.5,21,3.4,6.6,0.8,2.9,4.5
