country,total,01_mitte,02_friedrichshain_kreuzberg,03_pankow,04_charlottenburg_wilmersdorf,05_spandau,06_steglitz_zehlendorf,07_tempelhof_schöneberg,08_neukölln,09_treptow_köpenick,10_marzahn_hellersdorf,11_lichtenberg,12_reinickendorf
Belgien,1715,346,292,206,206,36,105,140,202,52,16,60,54
Bulgarien,20069,5496,1479,861,1622,1212,638,1609,2853,726,557,1482,1534
Dänemark,3121,568,635,474,466,58,151,231,372,51,21,40,54
Estland,724,135,76,89,134,34,41,60,55,9,30,42,19
Finnland,2029,338,280,301,375,51,143,170,218,42,14,49,48
Frankreich,16848,3320,3115,2136,2431,241,831,1457,2030,282,43,298,664
Griechenland,11910,2346,1243,715,1766,409,1009,1662,1417,245,214,225,659
Irland,2476,407,527,341,335,32,137,186,364,37,28,46,36
Italien,25333,4376,4246,2847,3508,752,1337,2577,3254,467,193,609,1167
Kroatien,11470,1671,837,322,1706,1038,1069,1975,1481,157,76,259,879
Lettland,3178,470,209,160,633,197,142,289,185,104,282,351,156
Litauen,2607,508,182,184,444,157,159,211,174,92,171,186,139
Luxemburg,641,138,137,75,97,9,42,61,46,9,7,14,6
Malta,91,15,18,19,16,0,4,6,6,0,0,4,3
Niederlande,5783,1008,1033,750,734,135,409,542,640,158,45,147,182
Österreich,10501,1685,1530,1243,1619,348,910,1013,1087,296,94,245,431
Polen,50057,7966,2574,2708,6660,4750,3658,5115,6078,1741,1770,2846,4191
Portugal,4471,855,602,411,505,154,189,266,469,82,170,516,252
Rumänien,13436,2384,760,730,1503,1087,585,1151,2017,516,963,1037,703
Schweden,3724,605,735,521,483,66,201,292,582,68,31,65,75
Slowakei,1231,207,117,172,153,68,79,72,98,53,48,94,70
Slowenien,1462,309,137,103,187,153,88,115,157,22,25,58,108
Spanien,13167,2653,2667,1686,1543,242,646,1026,1634,279,113,366,312
Tschechische Republik 1,2385,377,226,291,368,111,199,202,228,116,75,120,72
Ungarn,4775,854,416,557,644,187,302,356,376,220,290,350,223
Vereinigtes Königreich,13512,2258,2391,1699,1950,519,873,1143,1724,280,72,257,346
Zypern,288,77,45,29,33,3,22,37,22,7,4,3,6
