constituency_association,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_piraten,party_npd,party_fdp,party_afd,others
1,34686,26907,77.6,26525,27.5,11.7,29.7,18.6,5,0.2,2.1,2.3,2.9
2,34594,26176,75.7,25810,22.5,12.2,24.7,24.7,7.1,0.6,1.9,2.3,4
3,32807,21676,66.1,21270,27.9,14.2,22.5,21,4.6,0.6,2,2.6,4.5
4,36199,27149,75,26800,22.1,18.7,12.8,32.3,5.1,1,2,3.4,2.7
5,36039,27459,76.2,27107,22,13.5,21.7,25.4,8.6,0.5,2.2,2.5,3.7
