district,total,between_18_and_25_total,between_18_and_25_percentage,between_25_and_35_total,between_25_and_35_percentage,between_35_and_45_total,between_35_and_45_percentage,between_45_and_60_total,between_45_and_60_percentage,between_60_and_70_total,between_60_and_70_percentage,between_70_and_above_total,between_70_an_above_percentage
1,33966,2742,8.1,5029,14.8,3845,11.3,8873,26.1,4796,14.1,8681,25.6
2,31134,2867,9.2,5762,18.5,3909,12.6,8290,26.6,4163,13.4,6143,19.7
3,33037,3035,9.2,5555,16.8,4337,13.1,9050,27.4,4397,13.3,6663,20.2
4,32936,3252,9.9,4030,12.2,3857,11.7,9532,28.9,4961,15.1,7304,22.2
5,32816,2373,7.2,3151,9.6,3660,11.2,9166,27.9,5654,17.2,8812,26.9
