constituency_association,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_piraten,party_npd,party_fdp,party_afd,others
1,32949,17797,54,17466,18,20.9,2.9,37.6,3.4,5.5,1.2,7.2,3.3
2,35283,22517,63.8,22139,20.1,23.6,2.7,37.9,2.6,3.3,1.4,5.6,2.7
3,35031,19680,56.2,19282,18.1,20.7,3.2,35.2,3.9,6.5,1.4,7,4
4,34378,24961,72.6,24603,19.8,28.7,4.5,32.1,2.5,2.3,1.9,5.7,2.4
5,32669,26539,81.2,26277,19.4,35,5.4,24.6,2.6,1.9,2.6,6.2,2.3
6,33658,21323,63.4,20965,19.3,23,3.9,33,3.6,5.2,1.6,6.9,3.5
