constituency_association,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_piraten,party_npd,party_fdp,others
1,31006,13962.0,45.0,13693.0,29.4,12.7,4.8,29.6,9.5,5.4,0.8,7.8
2,33286,18058.0,54.3,17766.0,30.3,14.4,5.8,31.4,7.9,3.1,0.9,6.4
3,35760,17859.0,49.9,17546.0,32.3,12.1,5.0,31.4,8.4,3.8,0.7,6.4
4,34604,18911.0,54.6,18613.0,31.0,10.4,8.2,29.5,10.3,3.1,1.0,6.5
5,34263,17923.0,52.3,17564.0,30.4,10.7,9.8,24.8,12.1,4.0,0.9,7.2
6,34790,22235.0,63.9,21912.0,31.6,13.5,10.6,27.8,7.9,2.3,0.9,5.4
